window,analysis_role,reference_protocol,protocols,month_clusters,cells,restrictions,wald_chi2,F,df_num,df_den,p_value,inference_method,null_hypothesis,inferential_role,scope,confirmatory_status
revised-24m,primary,uniswap,20,24,8391,19,5325.785444674605,280.3044970881371,19,23,8.781974263473303e-23,grouped-binomial logit; month and trade-size-bin FE; calendar-month-clustered CR1; F reference with G-1 df,all non-reference protocol attack-incidence coefficients are zero,approximate sensitivity diagnostic; not confirmatory,aggregate-level attack-incidence model conditional on protocols having >=1 observed attacked event; zero-attack candidate-trade protocols are outside this model estimand; not continuous transaction-size inference,approximate sensitivity only; numerical p-value retained for transparency but must not be used as an H4 support/rejection decision rule because monthly clusters are limited relative to the high-dimensional protocol block
revised-30m,temporal robustness extension,uniswap,21,30,10601,20,2793.195610117915,139.65978050589575,20,29,1.4100974348821412e-23,grouped-binomial logit; month and trade-size-bin FE; calendar-month-clustered CR1; F reference with G-1 df,all non-reference protocol attack-incidence coefficients are zero,approximate sensitivity diagnostic; not confirmatory,aggregate-level attack-incidence model conditional on protocols having >=1 observed attacked event; zero-attack candidate-trade protocols are outside this model estimand; not continuous transaction-size inference,approximate sensitivity only; numerical p-value retained for transparency but must not be used as an H4 support/rejection decision rule because monthly clusters are limited relative to the high-dimensional protocol block
