"regime","regime_start","regime_end","number_of_days","average_daily_volume_usd","median_daily_volume_usd","minimum_daily_volume_usd","maximum_daily_volume_usd","sd_daily_volume_usd","coefficient_of_variation","total_volume_usd","average_trade_count","average_unique_bots","average_unique_transactions"
1,2024-01-01,2025-03-29,454,242377620.898073,232887165.074705,93006121.4710715,851714915.505712,84927105.4076463,0.350391694963293,110039439887.725,11964.2356828194,209.345814977974,7585.29735682819
2,2025-03-30,2025-07-09,102,362850145.300752,353283035.49994,121653166.760447,661777680.58159,106203386.463363,0.292692142579509,37010714820.6767,7691.52941176471,121.107843137255,5873.49019607843
3,2025-07-10,2025-08-28,50,913820206.448155,850360982.328045,377220288.215595,1610042604.92571,271492053.459481,0.297095699508242,45691010322.4078,7100.58,119.82,5446.82
4,2025-08-29,2025-10-16,49,583736818.49489,537507172.772654,338184737.545916,1192716230.06121,179463130.177547,0.30743842857176,28603104106.2496,5382.18367346939,112.061224489796,4335.40816326531
5,2025-10-17,2025-12-31,76,341816771.787644,336728450.328555,136237976.862281,608525635.125928,104974313.636733,0.307106971632009,25978074655.861,4875.17105263158,94.3026315789474,4006.42105263158
