window,trade_size_bin,weighting,months,observed_mean_difference_pp,half_width_pp,lower_bound_pp,upper_bound_pp,zero_in_interval,family_intervals,family_alpha,target,dependence,confidence_scope,interpretation
24m,11_100000_plus,overlap_exposure,24,1.1066971562769479,78.41002756996855,-77.3033304136916,79.51672472624549,True,40,0.05,time_average_conditional_expectation_of_monthly_matched_statistic,arbitrary_adapted_dependence_bounded_monthly_statistic,fixed_40_interval_family_only_not_other_analysis_families,conservative_uncertainty_for_observable_implication_not_direct_H2
30m,02_100_250,equal_project,30,0.21226385279582907,70.13206070563292,-69.9197968528371,70.34432455842875,True,40,0.05,time_average_conditional_expectation_of_monthly_matched_statistic,arbitrary_adapted_dependence_bounded_monthly_statistic,fixed_40_interval_family_only_not_other_analysis_families,conservative_uncertainty_for_observable_implication_not_direct_H2
30m,02_100_250,overlap_exposure,30,0.6819882357277156,70.13206070563292,-69.45007246990521,70.81404894136064,True,40,0.05,time_average_conditional_expectation_of_monthly_matched_statistic,arbitrary_adapted_dependence_bounded_monthly_statistic,fixed_40_interval_family_only_not_other_analysis_families,conservative_uncertainty_for_observable_implication_not_direct_H2
30m,03_250_500,equal_project,30,0.3686977775161894,70.13206070563292,-69.76336292811673,70.50075848314911,True,40,0.05,time_average_conditional_expectation_of_monthly_matched_statistic,arbitrary_adapted_dependence_bounded_monthly_statistic,fixed_40_interval_family_only_not_other_analysis_families,conservative_uncertainty_for_observable_implication_not_direct_H2
30m,03_250_500,overlap_exposure,30,1.1460072230679357,70.13206070563292,-68.98605348256498,71.27806792870086,True,40,0.05,time_average_conditional_expectation_of_monthly_matched_statistic,arbitrary_adapted_dependence_bounded_monthly_statistic,fixed_40_interval_family_only_not_other_analysis_families,conservative_uncertainty_for_observable_implication_not_direct_H2
30m,04_500_1000,equal_project,30,0.59492949524168,70.13206070563292,-69.53713121039125,70.72699020087461,True,40,0.05,time_average_conditional_expectation_of_monthly_matched_statistic,arbitrary_adapted_dependence_bounded_monthly_statistic,fixed_40_interval_family_only_not_other_analysis_families,conservative_uncertainty_for_observable_implication_not_direct_H2
30m,04_500_1000,overlap_exposure,30,1.5365017274889872,70.13206070563292,-68.59555897814393,71.66856243312192,True,40,0.05,time_average_conditional_expectation_of_monthly_matched_statistic,arbitrary_adapted_dependence_bounded_monthly_statistic,fixed_40_interval_family_only_not_other_analysis_families,conservative_uncertainty_for_observable_implication_not_direct_H2
30m,05_1000_2500,equal_project,30,0.7487580659563847,70.13206070563292,-69.38330263967654,70.88081877158932,True,40,0.05,time_average_conditional_expectation_of_monthly_matched_statistic,arbitrary_adapted_dependence_bounded_monthly_statistic,fixed_40_interval_family_only_not_other_analysis_families,conservative_uncertainty_for_observable_implication_not_direct_H2
30m,05_1000_2500,overlap_exposure,30,1.785566413112733,70.13206070563292,-68.34649429252019,71.91762711874567,True,40,0.05,time_average_conditional_expectation_of_monthly_matched_statistic,arbitrary_adapted_dependence_bounded_monthly_statistic,fixed_40_interval_family_only_not_other_analysis_families,conservative_uncertainty_for_observable_implication_not_direct_H2
30m,06_2500_5000,equal_project,30,1.0752000011154232,70.13206070563292,-69.0568607045175,71.20726070674836,True,40,0.05,time_average_conditional_expectation_of_monthly_matched_statistic,arbitrary_adapted_dependence_bounded_monthly_statistic,fixed_40_interval_family_only_not_other_analysis_families,conservative_uncertainty_for_observable_implication_not_direct_H2
