window,q5e_attacked_events,quality_positive_usd_rows,counts_match,interpretation
24m,3753857,3753857.0,True,cross_export_reconciliation_not_independent_validation_of_detection
30m,4286398,4286398.0,True,cross_export_reconciliation_not_independent_validation_of_detection
