window,scope,trade_size_bin,weighting,excluded_project,months,mean_standardized_bin_rate_pct,mean_standardized_reference_rate_pct,equal_month_standardized_difference_pp,equal_month_pooled_difference_pp,equal_month_matched_pooled_difference_pp,months_positive,months_negative,months_zero,observed_month_min_pp,observed_month_max_pp,inference_status,restriction
24m,all_projects,02_100_250,equal_project,,24,0.3931422662242732,0.13579925486227087,0.2573430113620023,0.7905753363744855,0.7905753363744855,24,0,0,0.010331662251726798,0.7460443894380916,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,all_projects,02_100_250,overlap_exposure,,24,1.2658186046911262,0.4973647866318068,0.7684538180593191,0.7905753363744855,0.7905753363744855,24,0,0,0.15292679282380042,1.5095267599637352,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,all_projects,03_250_500,equal_project,,24,0.6580480345258906,0.13579925486227087,0.5222487796636197,1.371238656231559,1.371238656231559,24,0,0,0.15728665816667595,1.184436154249289,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,all_projects,03_250_500,overlap_exposure,,24,1.856413823610091,0.4927367917751062,1.3636770318349847,1.371238656231559,1.371238656231559,24,0,0,0.4649816748175649,3.0147824651923214,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,all_projects,04_500_1000,equal_project,,24,0.7920612746425387,0.13579925486227087,0.6562620197802678,1.8055164588759645,1.8055164588759645,24,0,0,0.2550118606516829,1.3752122573072838,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,all_projects,04_500_1000,overlap_exposure,,24,2.32662668554306,0.4830934733693531,1.843533212173707,1.8055164588759645,1.8055164588759645,24,0,0,0.350047839392445,4.214016352091159,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,all_projects,05_1000_2500,equal_project,,24,0.9280492080513812,0.13579925486227087,0.7922499531891103,2.039012219493863,2.039012219493863,24,0,0,0.2712657085214878,1.8201486154495836,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,all_projects,05_1000_2500,overlap_exposure,,24,2.6545983568814764,0.4701443378216424,2.184454019059834,2.039012219493863,2.039012219493863,24,0,0,0.31010663020543516,5.442685724490513,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,all_projects,06_2500_5000,equal_project,,24,1.1322561916999365,0.13579925486227087,0.9964569368376658,2.263877448985618,2.263877448985618,24,0,0,0.24363213872903683,2.3942446847298116,descriptive_sensitivity_not_a_hypothesis_test,common_bins
24m,all_projects,06_2500_5000,overlap_exposure,,24,2.9735886104299,0.4384632013114267,2.535125409118473,2.263877448985618,2.263877448985618,24,0,0,0.3444569087504652,6.132719840057237,descriptive_sensitivity_not_a_hypothesis_test,common_bins
