window,scope,trade_size_bin,project,months,mean_difference_pp,months_positive,months_negative,months_zero
24m,all_projects,04_500_1000,verse_dex,24,3.0517573514396052,23,1,0
24m,all_projects,04_500_1000,xchange,16,0.29053830069359443,1,1,14
24m,all_projects,05_1000_2500,0x API,16,-0.0005057991703377227,0,3,13
24m,all_projects,05_1000_2500,0x-API,24,0.0,0,0,24
24m,all_projects,05_1000_2500,1inch-LOP,24,0.0,0,0,24
24m,all_projects,05_1000_2500,airswap,21,0.0,0,0,21
24m,all_projects,05_1000_2500,apeswap,1,-25.0,0,1,0
24m,all_projects,05_1000_2500,balancer,24,0.6197083734774543,23,1,0
24m,all_projects,05_1000_2500,bancor,24,0.07840581807212678,15,0,9
24m,all_projects,05_1000_2500,carbon_defi,24,0.0,0,0,24
24m,all_projects,05_1000_2500,clipper,24,0.0,0,0,24
24m,all_projects,05_1000_2500,curve,24,0.11110589568046969,22,2,0
24m,all_projects,05_1000_2500,defiswap,24,4.476683067158814,23,1,0
24m,all_projects,05_1000_2500,dfx,9,0.0,0,0,9
24m,all_projects,05_1000_2500,dodo,24,2.183840837978878,24,0,0
24m,all_projects,05_1000_2500,ekubo,10,1.516702229832916,9,0,1
24m,all_projects,05_1000_2500,eulerswap,7,0.0,0,0,7
24m,all_projects,05_1000_2500,fluid,15,0.0015291650945716804,4,1,10
24m,all_projects,05_1000_2500,fraxswap,24,0.10931577607553015,14,2,8
24m,all_projects,05_1000_2500,integral,21,0.0,0,0,21
24m,all_projects,05_1000_2500,kyberswap,24,-0.036472944023819294,1,6,17
24m,all_projects,05_1000_2500,maverick,24,1.0375387928769793,14,6,4
24m,all_projects,05_1000_2500,native,8,0.0,0,0,8
24m,all_projects,05_1000_2500,origin_arm,24,0.0,0,0,24
24m,all_projects,05_1000_2500,pancakeswap,24,1.881315432748402,22,2,0
24m,all_projects,05_1000_2500,shibaswap,24,1.1284919141344016,22,2,0
24m,all_projects,05_1000_2500,solidly,24,3.24718632590719,22,2,0
24m,all_projects,05_1000_2500,sushiswap,24,1.427710528505079,22,2,0
24m,all_projects,05_1000_2500,swaap,22,0.0,0,0,22
24m,all_projects,05_1000_2500,swapr,1,0.0,0,0,1
24m,all_projects,05_1000_2500,uniswap,24,1.3241438590061592,24,0,0
24m,all_projects,05_1000_2500,valantis,8,0.0,0,0,8
24m,all_projects,05_1000_2500,verse_dex,24,3.160832326362573,22,0,2
24m,all_projects,05_1000_2500,xchange,11,3.236537744061684,2,0,9
24m,all_projects,06_2500_5000,0x API,16,-0.0005057991703377227,0,3,13
24m,all_projects,06_2500_5000,0x-API,24,0.0,0,0,24
24m,all_projects,06_2500_5000,1inch-LOP,24,0.0,0,0,24
24m,all_projects,06_2500_5000,airswap,21,0.0,0,0,21
24m,all_projects,06_2500_5000,balancer,24,1.0401428426372055,21,3,0
24m,all_projects,06_2500_5000,bancor,24,0.8318876423451629,21,0,3
24m,all_projects,06_2500_5000,carbon_defi,24,0.0,0,0,24
24m,all_projects,06_2500_5000,clipper,24,0.0,0,0,24
24m,all_projects,06_2500_5000,curve,24,0.2650237481266986,24,0,0
24m,all_projects,06_2500_5000,defiswap,24,5.186108115000684,15,9,0
24m,all_projects,06_2500_5000,dfx,7,0.0,0,0,7
24m,all_projects,06_2500_5000,dodo,24,2.528011715458152,23,1,0
24m,all_projects,06_2500_5000,ekubo,10,1.793244652115503,9,0,1
24m,all_projects,06_2500_5000,eulerswap,7,0.0,0,0,7
24m,all_projects,06_2500_5000,fluid,15,0.0024764359187323024,3,1,11
24m,all_projects,06_2500_5000,fraxswap,24,0.05079260704979787,8,3,13
24m,all_projects,06_2500_5000,integral,21,0.0,0,0,21
24m,all_projects,06_2500_5000,kyberswap,24,-0.10957235922849766,0,7,17
24m,all_projects,06_2500_5000,mauve,1,0.0,0,0,1
24m,all_projects,06_2500_5000,maverick,24,0.9302216041429116,19,2,3
24m,all_projects,06_2500_5000,native,8,0.0,0,0,8
24m,all_projects,06_2500_5000,origin_arm,24,0.0,0,0,24
24m,all_projects,06_2500_5000,pancakeswap,24,1.823326031435057,19,5,0
24m,all_projects,06_2500_5000,shibaswap,24,1.071270556034751,24,0,0
24m,all_projects,06_2500_5000,solidly,23,3.8352572572041272,21,2,0
24m,all_projects,06_2500_5000,sushiswap,24,2.0166868345566513,20,4,0
24m,all_projects,06_2500_5000,swaap,22,0.0,0,0,22
24m,all_projects,06_2500_5000,uniswap,24,1.755323282620492,24,0,0
