window,scope,trade_size_bin,project,months,mean_difference_pp,months_positive,months_negative,months_zero
24m,exclude_primary_dominant_project,04_500_1000,0x API,16,-0.0005057991703377227,0,3,13
24m,exclude_primary_dominant_project,04_500_1000,0x-API,24,0.0,0,0,24
24m,exclude_primary_dominant_project,04_500_1000,1inch-LOP,24,0.0,0,0,24
24m,exclude_primary_dominant_project,04_500_1000,airswap,21,0.0,0,0,21
24m,exclude_primary_dominant_project,04_500_1000,balancer,24,0.5141404528264869,24,0,0
24m,exclude_primary_dominant_project,04_500_1000,bancor,24,0.08125707847984238,14,1,9
24m,exclude_primary_dominant_project,04_500_1000,carbon_defi,24,0.0,0,0,24
24m,exclude_primary_dominant_project,04_500_1000,clipper,24,0.0,0,0,24
24m,exclude_primary_dominant_project,04_500_1000,curve,24,0.08174585009125766,18,6,0
24m,exclude_primary_dominant_project,04_500_1000,defiswap,24,1.8367493923467555,24,0,0
24m,exclude_primary_dominant_project,04_500_1000,dfx,8,0.0,0,0,8
24m,exclude_primary_dominant_project,04_500_1000,dodo,24,1.6034457187181832,24,0,0
24m,exclude_primary_dominant_project,04_500_1000,ekubo,10,1.34604928229114,8,1,1
24m,exclude_primary_dominant_project,04_500_1000,eulerswap,6,0.0,0,0,6
24m,exclude_primary_dominant_project,04_500_1000,fluid,14,0.028489931091572582,6,1,7
24m,exclude_primary_dominant_project,04_500_1000,fraxswap,24,0.10487623837302794,8,4,12
24m,exclude_primary_dominant_project,04_500_1000,integral,21,0.0,0,0,21
24m,exclude_primary_dominant_project,04_500_1000,kyberswap,24,-0.009425842139019801,1,6,17
24m,exclude_primary_dominant_project,04_500_1000,maverick,24,0.36959546567961105,9,11,4
24m,exclude_primary_dominant_project,04_500_1000,native,8,0.0,0,0,8
24m,exclude_primary_dominant_project,04_500_1000,origin_arm,24,0.0,0,0,24
24m,exclude_primary_dominant_project,04_500_1000,pancakeswap,24,1.617600334090923,21,3,0
24m,exclude_primary_dominant_project,04_500_1000,shibaswap,24,1.7105651585438988,24,0,0
24m,exclude_primary_dominant_project,04_500_1000,solidly,24,2.2673942306403805,21,3,0
24m,exclude_primary_dominant_project,04_500_1000,sushiswap,24,1.4204538857324989,23,1,0
24m,exclude_primary_dominant_project,04_500_1000,swaap,22,0.0,0,0,22
24m,exclude_primary_dominant_project,04_500_1000,swapr,3,0.0,0,0,3
24m,exclude_primary_dominant_project,04_500_1000,valantis,12,0.0,0,0,12
24m,exclude_primary_dominant_project,04_500_1000,verse_dex,24,3.0517573514396052,23,1,0
24m,exclude_primary_dominant_project,04_500_1000,xchange,16,0.29053830069359443,1,1,14
24m,exclude_primary_dominant_project,05_1000_2500,0x API,16,-0.0005057991703377227,0,3,13
24m,exclude_primary_dominant_project,05_1000_2500,0x-API,24,0.0,0,0,24
24m,exclude_primary_dominant_project,05_1000_2500,1inch-LOP,24,0.0,0,0,24
24m,exclude_primary_dominant_project,05_1000_2500,airswap,21,0.0,0,0,21
24m,exclude_primary_dominant_project,05_1000_2500,apeswap,1,-25.0,0,1,0
24m,exclude_primary_dominant_project,05_1000_2500,balancer,24,0.6197083734774543,23,1,0
24m,exclude_primary_dominant_project,05_1000_2500,bancor,24,0.07840581807212678,15,0,9
24m,exclude_primary_dominant_project,05_1000_2500,carbon_defi,24,0.0,0,0,24
24m,exclude_primary_dominant_project,05_1000_2500,clipper,24,0.0,0,0,24
24m,exclude_primary_dominant_project,05_1000_2500,curve,24,0.11110589568046969,22,2,0
24m,exclude_primary_dominant_project,05_1000_2500,defiswap,24,4.476683067158814,23,1,0
24m,exclude_primary_dominant_project,05_1000_2500,dfx,9,0.0,0,0,9
24m,exclude_primary_dominant_project,05_1000_2500,dodo,24,2.183840837978878,24,0,0
24m,exclude_primary_dominant_project,05_1000_2500,ekubo,10,1.516702229832916,9,0,1
24m,exclude_primary_dominant_project,05_1000_2500,eulerswap,7,0.0,0,0,7
24m,exclude_primary_dominant_project,05_1000_2500,fluid,15,0.0015291650945716804,4,1,10
24m,exclude_primary_dominant_project,05_1000_2500,fraxswap,24,0.10931577607553015,14,2,8
24m,exclude_primary_dominant_project,05_1000_2500,integral,21,0.0,0,0,21
24m,exclude_primary_dominant_project,05_1000_2500,kyberswap,24,-0.036472944023819294,1,6,17
24m,exclude_primary_dominant_project,05_1000_2500,maverick,24,1.0375387928769793,14,6,4
24m,exclude_primary_dominant_project,05_1000_2500,native,8,0.0,0,0,8
24m,exclude_primary_dominant_project,05_1000_2500,origin_arm,24,0.0,0,0,24
24m,exclude_primary_dominant_project,05_1000_2500,pancakeswap,24,1.881315432748402,22,2,0
24m,exclude_primary_dominant_project,05_1000_2500,shibaswap,24,1.1284919141344016,22,2,0
24m,exclude_primary_dominant_project,05_1000_2500,solidly,24,3.24718632590719,22,2,0
24m,exclude_primary_dominant_project,05_1000_2500,sushiswap,24,1.427710528505079,22,2,0
24m,exclude_primary_dominant_project,05_1000_2500,swaap,22,0.0,0,0,22
24m,exclude_primary_dominant_project,05_1000_2500,swapr,1,0.0,0,0,1
24m,exclude_primary_dominant_project,05_1000_2500,valantis,8,0.0,0,0,8
24m,exclude_primary_dominant_project,05_1000_2500,verse_dex,24,3.160832326362573,22,0,2
24m,exclude_primary_dominant_project,05_1000_2500,xchange,11,3.236537744061684,2,0,9
24m,exclude_primary_dominant_project,06_2500_5000,0x API,16,-0.0005057991703377227,0,3,13
24m,exclude_primary_dominant_project,06_2500_5000,0x-API,24,0.0,0,0,24
24m,exclude_primary_dominant_project,06_2500_5000,1inch-LOP,24,0.0,0,0,24
24m,exclude_primary_dominant_project,06_2500_5000,airswap,21,0.0,0,0,21
24m,exclude_primary_dominant_project,06_2500_5000,balancer,24,1.0401428426372055,21,3,0
24m,exclude_primary_dominant_project,06_2500_5000,bancor,24,0.8318876423451629,21,0,3
24m,exclude_primary_dominant_project,06_2500_5000,carbon_defi,24,0.0,0,0,24
24m,exclude_primary_dominant_project,06_2500_5000,clipper,24,0.0,0,0,24
24m,exclude_primary_dominant_project,06_2500_5000,curve,24,0.2650237481266986,24,0,0
24m,exclude_primary_dominant_project,06_2500_5000,defiswap,24,5.186108115000684,15,9,0
24m,exclude_primary_dominant_project,06_2500_5000,dfx,7,0.0,0,0,7
24m,exclude_primary_dominant_project,06_2500_5000,dodo,24,2.528011715458152,23,1,0
24m,exclude_primary_dominant_project,06_2500_5000,ekubo,10,1.793244652115503,9,0,1
24m,exclude_primary_dominant_project,06_2500_5000,eulerswap,7,0.0,0,0,7
24m,exclude_primary_dominant_project,06_2500_5000,fluid,15,0.0024764359187323024,3,1,11
24m,exclude_primary_dominant_project,06_2500_5000,fraxswap,24,0.05079260704979787,8,3,13
24m,exclude_primary_dominant_project,06_2500_5000,integral,21,0.0,0,0,21
24m,exclude_primary_dominant_project,06_2500_5000,kyberswap,24,-0.10957235922849766,0,7,17
24m,exclude_primary_dominant_project,06_2500_5000,mauve,1,0.0,0,0,1
24m,exclude_primary_dominant_project,06_2500_5000,maverick,24,0.9302216041429116,19,2,3
24m,exclude_primary_dominant_project,06_2500_5000,native,8,0.0,0,0,8
24m,exclude_primary_dominant_project,06_2500_5000,origin_arm,24,0.0,0,0,24
24m,exclude_primary_dominant_project,06_2500_5000,pancakeswap,24,1.823326031435057,19,5,0
24m,exclude_primary_dominant_project,06_2500_5000,shibaswap,24,1.071270556034751,24,0,0
24m,exclude_primary_dominant_project,06_2500_5000,solidly,23,3.8352572572041272,21,2,0
24m,exclude_primary_dominant_project,06_2500_5000,sushiswap,24,2.0166868345566513,20,4,0
24m,exclude_primary_dominant_project,06_2500_5000,swaap,22,0.0,0,0,22
24m,exclude_primary_dominant_project,06_2500_5000,valantis,8,0.0,0,0,8
24m,exclude_primary_dominant_project,06_2500_5000,verse_dex,24,4.7318461537957885,17,7,0
24m,exclude_primary_dominant_project,06_2500_5000,xchange,12,8.236434108527131,1,1,10
24m,exclude_primary_dominant_project,07_5000_10000,0x API,16,-0.0005057991703377227,0,3,13
24m,exclude_primary_dominant_project,07_5000_10000,0x-API,24,0.0,0,0,24
24m,exclude_primary_dominant_project,07_5000_10000,1inch-LOP,24,0.0,0,0,24
24m,exclude_primary_dominant_project,07_5000_10000,airswap,19,0.0,0,0,19
24m,exclude_primary_dominant_project,07_5000_10000,balancer,24,1.708872227140626,21,3,0
24m,exclude_primary_dominant_project,07_5000_10000,bancor,24,1.2627920203883354,19,1,4
24m,exclude_primary_dominant_project,07_5000_10000,carbon_defi,22,0.0,0,0,22
24m,exclude_primary_dominant_project,07_5000_10000,clipper,24,0.0,0,0,24
24m,exclude_primary_dominant_project,07_5000_10000,curve,24,0.47714494767215027,24,0,0
24m,exclude_primary_dominant_project,07_5000_10000,defiswap,23,2.4054158740349356,9,14,0
24m,exclude_primary_dominant_project,07_5000_10000,dfx,4,0.0,0,0,4
24m,exclude_primary_dominant_project,07_5000_10000,dodo,24,2.4310676596288485,23,1,0
24m,exclude_primary_dominant_project,07_5000_10000,ekubo,10,2.1802370773607174,9,0,1
24m,exclude_primary_dominant_project,07_5000_10000,eulerswap,6,0.0,0,0,6
24m,exclude_primary_dominant_project,07_5000_10000,fluid,15,0.003126576884847957,4,1,10
24m,exclude_primary_dominant_project,07_5000_10000,fraxswap,24,0.167572187992586,13,3,8
24m,exclude_primary_dominant_project,07_5000_10000,integral,21,0.0,0,0,21
24m,exclude_primary_dominant_project,07_5000_10000,kyberswap,22,-0.08567234570549255,0,6,16
24m,exclude_primary_dominant_project,07_5000_10000,mauve,1,0.0,0,0,1
24m,exclude_primary_dominant_project,07_5000_10000,maverick,24,0.8792142350126918,19,2,3
24m,exclude_primary_dominant_project,07_5000_10000,native,8,0.0,0,0,8
24m,exclude_primary_dominant_project,07_5000_10000,origin_arm,24,0.0,0,0,24
24m,exclude_primary_dominant_project,07_5000_10000,pancakeswap,24,0.8986296215593654,14,10,0
24m,exclude_primary_dominant_project,07_5000_10000,shibaswap,24,2.746043464662227,24,0,0
24m,exclude_primary_dominant_project,07_5000_10000,solidly,23,2.777630633991318,20,3,0
24m,exclude_primary_dominant_project,07_5000_10000,sushiswap,24,2.8835341145911446,16,8,0
24m,exclude_primary_dominant_project,07_5000_10000,swaap,22,0.0,0,0,22
24m,exclude_primary_dominant_project,07_5000_10000,valantis,8,0.0,0,0,8
24m,exclude_primary_dominant_project,07_5000_10000,verse_dex,23,6.94498904528776,14,9,0
24m,exclude_primary_dominant_project,07_5000_10000,xchange,6,8.139534883720929,1,0,5
24m,exclude_primary_dominant_project,08_10000_25000,0x API,16,-0.0005057991703377227,0,3,13
24m,exclude_primary_dominant_project,08_10000_25000,0x-API,24,0.0,0,0,24
24m,exclude_primary_dominant_project,08_10000_25000,1inch-LOP,24,0.0,0,0,24
24m,exclude_primary_dominant_project,08_10000_25000,airswap,20,0.0,0,0,20
24m,exclude_primary_dominant_project,08_10000_25000,balancer,24,1.2806235659630605,22,2,0
24m,exclude_primary_dominant_project,08_10000_25000,bancor,24,0.8301831094319271,11,3,10
24m,exclude_primary_dominant_project,08_10000_25000,carbon_defi,22,0.0,0,0,22
24m,exclude_primary_dominant_project,08_10000_25000,clipper,24,0.0,0,0,24
24m,exclude_primary_dominant_project,08_10000_25000,curve,24,0.6287359756154742,24,0,0
24m,exclude_primary_dominant_project,08_10000_25000,defiswap,19,1.25355181372632,2,15,2
24m,exclude_primary_dominant_project,08_10000_25000,dfx,5,0.0,0,0,5
24m,exclude_primary_dominant_project,08_10000_25000,dodo,24,2.702839036950055,23,1,0
24m,exclude_primary_dominant_project,08_10000_25000,ekubo,10,2.2946697021635587,9,0,1
24m,exclude_primary_dominant_project,08_10000_25000,eulerswap,7,0.0,0,0,7
24m,exclude_primary_dominant_project,08_10000_25000,fluid,15,7.198235918844642e-05,3,2,10
24m,exclude_primary_dominant_project,08_10000_25000,fraxswap,24,1.7806310281668747,22,1,1
24m,exclude_primary_dominant_project,08_10000_25000,integral,21,0.0,0,0,21
24m,exclude_primary_dominant_project,08_10000_25000,kyberswap,17,-0.09834233020815325,0,4,13
24m,exclude_primary_dominant_project,08_10000_25000,mauve,2,0.0,0,0,2
24m,exclude_primary_dominant_project,08_10000_25000,maverick,24,1.6872760955531074,20,1,3
24m,exclude_primary_dominant_project,08_10000_25000,native,8,0.0,0,0,8
24m,exclude_primary_dominant_project,08_10000_25000,origin_arm,24,0.0,0,0,24
24m,exclude_primary_dominant_project,08_10000_25000,pancakeswap,24,0.9233408790852077,18,6,0
24m,exclude_primary_dominant_project,08_10000_25000,shibaswap,24,5.5817478428503335,22,2,0
24m,exclude_primary_dominant_project,08_10000_25000,solidly,23,1.4424062304747394,17,6,0
24m,exclude_primary_dominant_project,08_10000_25000,sushiswap,24,2.593075521777077,14,10,0
24m,exclude_primary_dominant_project,08_10000_25000,swaap,21,0.0,0,0,21
24m,exclude_primary_dominant_project,08_10000_25000,valantis,8,0.0,0,0,8
24m,exclude_primary_dominant_project,08_10000_25000,verse_dex,22,4.497670668464468,7,13,2
24m,exclude_primary_dominant_project,08_10000_25000,xchange,7,-0.425853216550891,0,2,5
24m,exclude_primary_dominant_project,09_25000_50000,0x API,16,-0.0005057991703377227,0,3,13
24m,exclude_primary_dominant_project,09_25000_50000,0x-API,24,0.0,0,0,24
24m,exclude_primary_dominant_project,09_25000_50000,1inch-LOP,24,0.0,0,0,24
24m,exclude_primary_dominant_project,09_25000_50000,airswap,19,0.0,0,0,19
24m,exclude_primary_dominant_project,09_25000_50000,balancer,24,0.8081836786390872,24,0,0
24m,exclude_primary_dominant_project,09_25000_50000,bancor,20,0.4527303235957517,2,1,17
24m,exclude_primary_dominant_project,09_25000_50000,carbon_defi,11,0.0,0,0,11
24m,exclude_primary_dominant_project,09_25000_50000,clipper,22,0.0,0,0,22
24m,exclude_primary_dominant_project,09_25000_50000,curve,24,0.8536122447316102,23,1,0
24m,exclude_primary_dominant_project,09_25000_50000,defiswap,16,-0.18043544473816037,0,13,3
24m,exclude_primary_dominant_project,09_25000_50000,dodo,24,3.7273128947632936,22,2,0
24m,exclude_primary_dominant_project,09_25000_50000,ekubo,10,3.004640964020707,9,0,1
24m,exclude_primary_dominant_project,09_25000_50000,eulerswap,7,0.0,0,0,7
24m,exclude_primary_dominant_project,09_25000_50000,fluid,15,0.0024058851043666945,4,1,10
24m,exclude_primary_dominant_project,09_25000_50000,fraxswap,24,4.018934749831733,21,2,1
24m,exclude_primary_dominant_project,09_25000_50000,integral,21,0.0,0,0,21
24m,exclude_primary_dominant_project,09_25000_50000,kyberswap,11,-0.03127773339847769,0,2,9
24m,exclude_primary_dominant_project,09_25000_50000,mauve,2,0.0,0,0,2
24m,exclude_primary_dominant_project,09_25000_50000,maverick,24,2.4680950634391876,20,1,3
24m,exclude_primary_dominant_project,09_25000_50000,native,8,0.0,0,0,8
24m,exclude_primary_dominant_project,09_25000_50000,origin_arm,24,0.0,0,0,24
24m,exclude_primary_dominant_project,09_25000_50000,pancakeswap,24,0.4797973505091145,17,7,0
24m,exclude_primary_dominant_project,09_25000_50000,shibaswap,24,5.7031107952116775,14,10,0
24m,exclude_primary_dominant_project,09_25000_50000,solidly,22,0.9532723525945689,13,9,0
24m,exclude_primary_dominant_project,09_25000_50000,sushiswap,24,0.8912965106808258,16,8,0
24m,exclude_primary_dominant_project,09_25000_50000,swaap,21,0.0,0,0,21
24m,exclude_primary_dominant_project,09_25000_50000,swapr,2,0.0,0,0,2
24m,exclude_primary_dominant_project,09_25000_50000,valantis,8,0.0,0,0,8
24m,exclude_primary_dominant_project,09_25000_50000,verse_dex,11,1.4133128636788757,1,7,3
24m,exclude_primary_dominant_project,09_25000_50000,xchange,5,0.0,0,0,5
24m,exclude_primary_dominant_project,10_50000_100000,0x API,16,-0.0005057991703377227,0,3,13
24m,exclude_primary_dominant_project,10_50000_100000,0x-API,24,0.0,0,0,24
24m,exclude_primary_dominant_project,10_50000_100000,1inch-LOP,24,0.0,0,0,24
24m,exclude_primary_dominant_project,10_50000_100000,airswap,17,0.0,0,0,17
24m,exclude_primary_dominant_project,10_50000_100000,balancer,24,0.8993143215573332,24,0,0
24m,exclude_primary_dominant_project,10_50000_100000,bancor,18,-0.0014447526583448913,0,1,17
24m,exclude_primary_dominant_project,10_50000_100000,carbon_defi,3,0.0,0,0,3
24m,exclude_primary_dominant_project,10_50000_100000,clipper,20,0.0,0,0,20
24m,exclude_primary_dominant_project,10_50000_100000,curve,24,1.3826127053781303,22,2,0
24m,exclude_primary_dominant_project,10_50000_100000,defiswap,14,-0.1787641371437174,0,11,3
24m,exclude_primary_dominant_project,10_50000_100000,dodo,24,4.28581489888651,17,7,0
24m,exclude_primary_dominant_project,10_50000_100000,ekubo,10,2.626468459010103,9,0,1
24m,exclude_primary_dominant_project,10_50000_100000,eulerswap,7,0.0,0,0,7
24m,exclude_primary_dominant_project,10_50000_100000,fluid,15,0.028366550894320643,4,2,9
24m,exclude_primary_dominant_project,10_50000_100000,fraxswap,22,5.908670670105471,12,3,7
24m,exclude_primary_dominant_project,10_50000_100000,integral,21,0.0,0,0,21
24m,exclude_primary_dominant_project,10_50000_100000,kyberswap,5,0.0,0,0,5
24m,exclude_primary_dominant_project,10_50000_100000,mauve,1,0.0,0,0,1
24m,exclude_primary_dominant_project,10_50000_100000,maverick,24,2.0816138118504206,21,1,2
24m,exclude_primary_dominant_project,10_50000_100000,native,8,0.0,0,0,8
24m,exclude_primary_dominant_project,10_50000_100000,origin_arm,24,0.0,0,0,24
24m,exclude_primary_dominant_project,10_50000_100000,pancakeswap,24,0.5696493633902681,18,6,0
24m,exclude_primary_dominant_project,10_50000_100000,shibaswap,23,7.546726425679247,9,14,0
24m,exclude_primary_dominant_project,10_50000_100000,solidly,20,1.7159269196075886,11,9,0
24m,exclude_primary_dominant_project,10_50000_100000,sushiswap,24,1.4922505062726554,14,10,0
24m,exclude_primary_dominant_project,10_50000_100000,swaap,20,0.0,0,0,20
24m,exclude_primary_dominant_project,10_50000_100000,swapr,1,-2.5423728813559325,0,1,0
24m,exclude_primary_dominant_project,10_50000_100000,valantis,8,0.0,0,0,8
24m,exclude_primary_dominant_project,10_50000_100000,verse_dex,9,-0.07978766850064363,0,5,4
24m,exclude_primary_dominant_project,10_50000_100000,xchange,6,0.0,0,0,6
24m,exclude_primary_dominant_project,11_100000_plus,0x API,15,-0.0005395191150269041,0,3,12
24m,exclude_primary_dominant_project,11_100000_plus,0x-API,24,0.0,0,0,24
24m,exclude_primary_dominant_project,11_100000_plus,1inch-LOP,24,0.0,0,0,24
24m,exclude_primary_dominant_project,11_100000_plus,airswap,16,0.0,0,0,16
24m,exclude_primary_dominant_project,11_100000_plus,balancer,24,1.8397880364028207,24,0,0
24m,exclude_primary_dominant_project,11_100000_plus,bancor,13,16.666666666666664,3,0,10
24m,exclude_primary_dominant_project,11_100000_plus,carbon_defi,3,0.0,0,0,3
24m,exclude_primary_dominant_project,11_100000_plus,clipper,8,0.0,0,0,8
24m,exclude_primary_dominant_project,11_100000_plus,curve,24,1.6290698547603022,24,0,0
24m,exclude_primary_dominant_project,11_100000_plus,defiswap,10,-0.1180136568926559,0,9,1
24m,exclude_primary_dominant_project,11_100000_plus,dodo,24,1.285414563850359,16,8,0
24m,exclude_primary_dominant_project,11_100000_plus,ekubo,10,0.4422806171563568,6,3,1
24m,exclude_primary_dominant_project,11_100000_plus,eulerswap,7,0.0,0,0,7
24m,exclude_primary_dominant_project,11_100000_plus,fluid,15,0.20912826370378182,12,0,3
24m,exclude_primary_dominant_project,11_100000_plus,fraxswap,17,21.277978750981063,10,3,4
24m,exclude_primary_dominant_project,11_100000_plus,integral,21,0.0,0,0,21
24m,exclude_primary_dominant_project,11_100000_plus,kyberswap,1,0.0,0,0,1
24m,exclude_primary_dominant_project,11_100000_plus,maverick,24,3.3307293107362863,19,2,3
24m,exclude_primary_dominant_project,11_100000_plus,native,8,0.0,0,0,8
24m,exclude_primary_dominant_project,11_100000_plus,origin_arm,24,0.0,0,0,24
24m,exclude_primary_dominant_project,11_100000_plus,pancakeswap,24,3.026906525382333,20,4,0
24m,exclude_primary_dominant_project,11_100000_plus,shibaswap,22,3.4766629345615736,5,16,1
24m,exclude_primary_dominant_project,11_100000_plus,solidly,18,1.9353878922074164,9,9,0
24m,exclude_primary_dominant_project,11_100000_plus,sushiswap,24,0.9579790943908345,10,14,0
24m,exclude_primary_dominant_project,11_100000_plus,swaap,19,0.0,0,0,19
24m,exclude_primary_dominant_project,11_100000_plus,swapr,1,0.0,0,0,1
24m,exclude_primary_dominant_project,11_100000_plus,valantis,7,0.0,0,0,7
24m,exclude_primary_dominant_project,11_100000_plus,verse_dex,11,-0.16414032035142914,0,8,3
24m,exclude_primary_dominant_project,11_100000_plus,xchange,5,-0.17543859649122806,0,1,4
30m,all_projects,02_100_250,0x API,21,-0.0003853707964477887,0,3,18
30m,all_projects,02_100_250,0x-API,30,0.0,0,0,30
30m,all_projects,02_100_250,1inch-LOP,30,0.0,0,0,30
30m,all_projects,02_100_250,agra,1,0.0,0,0,1
30m,all_projects,02_100_250,airswap,21,0.0,0,0,21
30m,all_projects,02_100_250,balancer,30,0.15394149882704153,28,2,0
30m,all_projects,02_100_250,bancor,30,0.01858145157429086,14,3,13
30m,all_projects,02_100_250,carbon_defi,30,0.0,0,0,30
30m,all_projects,02_100_250,clipper,25,0.0,0,0,25
30m,all_projects,02_100_250,curve,30,0.035832215227176833,23,7,0
30m,all_projects,02_100_250,defiswap,30,0.05962829263021595,17,11,2
30m,all_projects,02_100_250,dfx,14,0.0,0,0,14
30m,all_projects,02_100_250,dodo,30,1.206953668944425,29,0,1
30m,all_projects,02_100_250,ekubo,16,0.40512335171613784,13,2,1
30m,all_projects,02_100_250,eulerswap,12,0.0,0,0,12
30m,all_projects,02_100_250,fluid,20,0.0009709237354768255,3,3,14
30m,all_projects,02_100_250,fraxswap,30,0.24991765730430962,14,1,15
30m,all_projects,02_100_250,integral,21,0.0,0,0,21
30m,all_projects,02_100_250,kyberswap,30,0.1044446642705989,4,5,21
30m,all_projects,02_100_250,mauve,1,0.0,0,0,1
30m,all_projects,02_100_250,maverick,30,0.1521844074429465,18,10,2
30m,all_projects,02_100_250,native,14,0.0,0,0,14
30m,all_projects,02_100_250,origin_arm,30,0.0,0,0,30
30m,all_projects,02_100_250,pancakeswap,30,0.1566298856178991,20,10,0
30m,all_projects,02_100_250,shibaswap,30,1.2717293360589743,29,1,0
30m,all_projects,02_100_250,solidly,30,-0.16371927850849033,14,14,2
30m,all_projects,02_100_250,supernova,5,0.0735636784991757,2,3,0
30m,all_projects,02_100_250,sushiswap,30,0.34136320022200084,28,2,0
30m,all_projects,02_100_250,swaap,28,0.0,0,0,28
30m,all_projects,02_100_250,swapr,15,0.9841035643173336,1,5,9
30m,all_projects,02_100_250,uniswap,30,0.4439035952627718,30,0,0
30m,all_projects,02_100_250,valantis,19,0.0,0,0,19
30m,all_projects,02_100_250,verse_dex,30,0.8791802961481908,25,3,2
30m,all_projects,02_100_250,xchange,27,0.03923820461288162,1,0,26
30m,all_projects,03_250_500,0x API,22,-0.0003678539420637983,0,3,19
30m,all_projects,03_250_500,0x-API,30,0.0,0,0,30
30m,all_projects,03_250_500,1inch-LOP,30,0.0,0,0,30
30m,all_projects,03_250_500,agra,1,0.0,0,0,1
30m,all_projects,03_250_500,airswap,21,0.0,0,0,21
30m,all_projects,03_250_500,balancer,30,0.2735375974432354,26,4,0
30m,all_projects,03_250_500,bancor,30,0.03068969683899847,16,1,13
30m,all_projects,03_250_500,carbon_defi,30,0.0,0,0,30
30m,all_projects,03_250_500,clipper,25,0.0,0,0,25
30m,all_projects,03_250_500,curve,30,0.021421707213010642,17,11,2
30m,all_projects,03_250_500,defiswap,30,0.7004593695068432,26,4,0
30m,all_projects,03_250_500,dfx,13,0.0,0,0,13
30m,all_projects,03_250_500,dodo,30,1.5457707630959345,30,0,0
30m,all_projects,03_250_500,ekubo,16,0.785521679984757,13,2,1
30m,all_projects,03_250_500,eulerswap,11,0.0,0,0,11
30m,all_projects,03_250_500,fluid,20,0.0025656617280906684,3,3,14
30m,all_projects,03_250_500,fraxswap,30,0.22214920033440605,10,4,16
30m,all_projects,03_250_500,integral,25,0.0,0,0,25
30m,all_projects,03_250_500,kyberswap,30,0.04077707679537167,4,5,21
30m,all_projects,03_250_500,maverick,30,0.21208428793829087,14,15,1
30m,all_projects,03_250_500,native,14,0.0,0,0,14
30m,all_projects,03_250_500,origin_arm,30,0.0,0,0,30
30m,all_projects,03_250_500,pancakeswap,30,0.49757473996528956,24,6,0
30m,all_projects,03_250_500,shibaswap,30,1.7542924922813627,29,1,0
30m,all_projects,03_250_500,solidly,30,0.5208953043458611,18,11,1
30m,all_projects,03_250_500,supernova,5,-0.021437333652980905,0,5,0
30m,all_projects,03_250_500,sushiswap,30,0.7939665883812775,27,3,0
30m,all_projects,03_250_500,swaap,28,0.0,0,0,28
30m,all_projects,03_250_500,swapr,6,-0.6215974648573982,0,2,4
30m,all_projects,03_250_500,uniswap,30,0.6780250772976919,30,0,0
30m,all_projects,03_250_500,valantis,13,0.0,0,0,13
30m,all_projects,03_250_500,verse_dex,30,1.728791137155937,29,1,0
30m,all_projects,03_250_500,xchange,21,0.10335917312661498,1,0,20
30m,all_projects,04_500_1000,0x API,22,-0.0003678539420637983,0,3,19
30m,all_projects,04_500_1000,0x-API,30,0.0,0,0,30
30m,all_projects,04_500_1000,1inch-LOP,30,0.0,0,0,30
30m,all_projects,04_500_1000,agra,2,0.0,0,0,2
30m,all_projects,04_500_1000,airswap,21,0.0,0,0,21
30m,all_projects,04_500_1000,balancer,30,0.4074317058575281,27,3,0
30m,all_projects,04_500_1000,bancor,30,0.09629388168643031,20,1,9
30m,all_projects,04_500_1000,carbon_defi,30,0.0,0,0,30
30m,all_projects,04_500_1000,clipper,25,0.0,0,0,25
30m,all_projects,04_500_1000,curve,30,0.0638802585802775,21,9,0
30m,all_projects,04_500_1000,defiswap,30,1.6088488255780204,28,2,0
30m,all_projects,04_500_1000,dfx,14,0.0,0,0,14
30m,all_projects,04_500_1000,dodo,30,1.7536874904399586,30,0,0
30m,all_projects,04_500_1000,ekubo,16,1.1242487822868588,14,1,1
30m,all_projects,04_500_1000,eulerswap,12,0.0,0,0,12
30m,all_projects,04_500_1000,fluid,20,0.02305888199441545,9,2,9
30m,all_projects,04_500_1000,fraxswap,30,0.06937401244092233,9,6,15
30m,all_projects,04_500_1000,integral,25,0.0,0,0,25
30m,all_projects,04_500_1000,kyberswap,30,-0.009708224133091446,1,8,21
30m,all_projects,04_500_1000,maverick,30,0.34435933691182596,12,14,4
30m,all_projects,04_500_1000,native,14,0.0,0,0,14
30m,all_projects,04_500_1000,origin_arm,30,0.0,0,0,30
30m,all_projects,04_500_1000,pancakeswap,30,1.2244258946019337,22,8,0
30m,all_projects,04_500_1000,shibaswap,30,1.4176088595229897,28,2,0
30m,all_projects,04_500_1000,solidly,29,1.3045399791929901,21,8,0
30m,all_projects,04_500_1000,supernova,5,0.3977350444928239,4,1,0
30m,all_projects,04_500_1000,sushiswap,30,1.1392339874577693,26,4,0
30m,all_projects,04_500_1000,swaap,28,0.0,0,0,28
30m,all_projects,04_500_1000,swapr,4,-0.12594458438287154,0,1,3
30m,all_projects,04_500_1000,uniswap,30,0.8958370946592772,29,1,0
30m,all_projects,04_500_1000,valantis,12,0.0,0,0,12
30m,all_projects,04_500_1000,verse_dex,30,4.074232708762503,29,1,0
30m,all_projects,04_500_1000,xchange,17,0.27344781241750066,1,1,15
30m,all_projects,05_1000_2500,0x API,22,-0.0003678539420637983,0,3,19
30m,all_projects,05_1000_2500,0x-API,30,0.0,0,0,30
30m,all_projects,05_1000_2500,1inch-LOP,30,0.0,0,0,30
