protocol_a,protocol_b,log_odds_difference_a_minus_b,odds_ratio_a_vs_b,ci95_low_or,ci95_high_or,t_stat,df,p_value_raw,p_value_holm_exploratory,inference_status
0x API,apeswap,-7.169769938038609,0.0007694997434847024,5.988097806224373e-05,0.009888446621688918,-5.808688529250429,23,6.428573555372095e-06,0.0007778574002000236,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,balancer,-6.616639310413686,0.0013379197315897113,0.00036434625266254425,0.004912989210389936,-10.522688225617918,23,2.8983383097716647e-10,4.434457613950647e-08,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,bancor,-5.324645992539702,0.004870074751898145,0.0014503441600345465,0.016353103451328985,-9.093364990142446,23,4.450891621231495e-09,6.453792850785668e-07,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,curve,-5.814088541581076,0.0029851999735092333,0.0008469926448203659,0.010521247069069298,-9.547568491669812,23,1.8178544108683137e-09,2.7267816163024707e-07,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,defiswap,-7.113767707220777,0.0008138229618340879,0.0002052474696655858,0.003226874437417033,-10.682880110291103,23,2.1669769936867658e-10,3.402153880088222e-08,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,dodo,-7.989197225230503,0.000339106200026178,7.453067824463139e-05,0.0015428950548223052,-10.908115854826342,23,1.4469137579376915e-10,2.3005928751209296e-08,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,ekubo,-7.877763764519114,0.0003790798213939096,0.00010552160782352692,0.0013618207109615222,-12.74319699224461,23,6.6007600658866994e-12,1.1683345316619458e-09,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,fluid,-4.667606583694873,0.009394728135386714,0.002118707770799734,0.041657900138116495,-6.4831836562816845,23,1.2912018079009541e-06,0.00016140022598761926,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,fraxswap,-6.014396423322971,0.002443322652150842,0.0006303048602829829,0.009471330396902223,-9.18269264607077,23,3.7244486797141882e-09,5.437695072382714e-07,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,kyberswap,-5.885619432669452,0.0027791242117157266,0.0005716847479262418,0.0135101232141688,-7.699554198444143,23,8.219146990095733e-08,1.076708255702541e-05,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,maverick,-7.540436308827276,0.0005311658188975719,0.00016794467094605493,0.001679940932783468,-13.54702417282801,23,1.8949775527366962e-12,3.392009819398686e-10,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,pancakeswap,-7.076823613229442,0.0008444511964774803,0.00023301436541655352,0.0030603169978703337,-11.36973801111852,23,6.436461362414134e-11,1.0427067407110897e-08,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,shibaswap,-7.481597975414924,0.0005633564661341433,0.0001527321530518536,0.0020779547828897594,-11.857605319323497,23,2.8036998983853432e-11,4.710215829287377e-09,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,solidly,-7.76976540391364,0.00042231232800830334,0.00011865732152692668,0.001503048443136488,-12.660823259611291,23,7.526793098318213e-12,1.3171887922056873e-09,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,sushiswap,-7.343730673296434,0.0006466336366037199,0.0001784210621650489,0.002343529709516888,-11.798126600516138,23,3.098491766807404e-11,5.14349633290029e-09,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,swapr,-7.849712586411237,0.00038986400436425675,7.325372580292457e-05,0.002074897081792735,-9.71270418556599,23,1.3212123978031609e-09,1.995030720682773e-07,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,uniswap,-7.674585159600135,0.000464483204034881,0.00013268560561849297,0.0016259838120710182,-12.671039151766696,23,7.404975168130773e-12,1.3032756295910159e-09,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,verse_dex,-7.613812391332698,0.0004935865219623567,0.00014109774252643419,0.0017266587707259271,-12.577704112388922,23,8.598615405391164e-12,1.4961590805380626e-09,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
0x API,xchange,-6.560829158327355,0.0014147122034982064,0.0002159981852355818,0.009265867750434472,-7.221467963165274,23,2.3715584985351258e-07,3.035594878124961e-05,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,balancer,0.5531306276249227,1.7386876901750503,0.22350986107601795,13.525286398608099,0.5577756368420893,23,0.5823865054405903,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,bancor,1.8451239454989068,6.328884178497406,0.7029846349826421,56.97816559792068,1.7369069121204757,23,0.09578005777305451,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,curve,1.3556813964575332,3.879403468012435,0.45227842532629514,33.27545694174841,1.3049137489674478,23,0.20482778428849402,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,defiswap,0.05600223081783162,1.0576000430470145,0.11868183702400743,9.424507398101607,0.05296431485884901,23,0.9582176864101202,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,dodo,-0.8194272871918935,0.4406839676002042,0.0919500888821495,2.1120410176956206,-1.0817011577411928,23,0.2905967863786157,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,ekubo,-0.7079938264805049,0.49263151106098524,0.05566744529094428,4.359564273550533,-0.6717206453021718,23,0.5084530329089558,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,fluid,2.5021633543437356,12.208877540156681,1.25850175796105,118.43979545331352,2.277979450435824,23,0.03234062965349349,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,fraxswap,1.1553735147156377,3.175209183418544,0.3720113537653598,27.101198004898766,1.1146662104120657,23,0.27650595635294173,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,kyberswap,1.2841505053691558,3.611598620072799,0.24978074936061276,52.22037577315622,0.9944392564537562,23,0.3303567487045158,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,maverick,-0.3706663707886677,0.6902741987829282,0.07943556846544031,5.998301248548537,-0.3546397829501614,23,0.7260905400541428,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
apeswap,pancakeswap,0.09294632480916631,1.0974028303808885,0.14888169290328684,8.088925835295887,0.09625499171303908,23,0.9241518544285152,1.0,exploratory diagnostic only: month-clustered CR1 with a limited number of clusters; no confirmatory significance classification
