window,scope,trade_size_bin,weighting,calendar_half,months,mean_difference_pp,months_positive,months_negative
30m,exclude_primary_dominant_project,05_1000_2500,overlap_exposure,2025-H2,6,0.6961204708188476,6,0
30m,exclude_primary_dominant_project,05_1000_2500,overlap_exposure,2026-H1,6,0.16896045035413368,5,1
30m,exclude_primary_dominant_project,06_2500_5000,equal_project,2024-H1,6,1.7777964204736276,6,0
30m,exclude_primary_dominant_project,06_2500_5000,equal_project,2024-H2,6,0.8672722272754134,6,0
30m,exclude_primary_dominant_project,06_2500_5000,equal_project,2025-H1,6,1.4706981828723362,6,0
30m,exclude_primary_dominant_project,06_2500_5000,equal_project,2025-H2,6,0.76295169949463,6,0
30m,exclude_primary_dominant_project,06_2500_5000,equal_project,2026-H1,6,0.41363826330444636,5,1
30m,exclude_primary_dominant_project,06_2500_5000,overlap_exposure,2024-H1,6,1.8152874804134977,6,0
30m,exclude_primary_dominant_project,06_2500_5000,overlap_exposure,2024-H2,6,0.7471152006577483,6,0
30m,exclude_primary_dominant_project,06_2500_5000,overlap_exposure,2025-H1,6,0.5480446564436191,6,0
30m,exclude_primary_dominant_project,06_2500_5000,overlap_exposure,2025-H2,6,0.652906188561546,6,0
30m,exclude_primary_dominant_project,06_2500_5000,overlap_exposure,2026-H1,6,0.24248038076814163,6,0
30m,exclude_primary_dominant_project,07_5000_10000,equal_project,2024-H1,6,1.7700084884711516,6,0
30m,exclude_primary_dominant_project,07_5000_10000,equal_project,2024-H2,6,1.6932244931166134,6,0
30m,exclude_primary_dominant_project,07_5000_10000,equal_project,2025-H1,6,0.8433102229231375,6,0
30m,exclude_primary_dominant_project,07_5000_10000,equal_project,2025-H2,6,0.5923563277434521,6,0
30m,exclude_primary_dominant_project,07_5000_10000,equal_project,2026-H1,6,1.2418146482989363,6,0
30m,exclude_primary_dominant_project,07_5000_10000,overlap_exposure,2024-H1,6,1.717736763046825,6,0
30m,exclude_primary_dominant_project,07_5000_10000,overlap_exposure,2024-H2,6,0.7883442271520186,6,0
30m,exclude_primary_dominant_project,07_5000_10000,overlap_exposure,2025-H1,6,0.5509928028330164,6,0
30m,exclude_primary_dominant_project,07_5000_10000,overlap_exposure,2025-H2,6,0.6230526569166037,6,0
30m,exclude_primary_dominant_project,07_5000_10000,overlap_exposure,2026-H1,6,0.2188883053280072,5,1
30m,exclude_primary_dominant_project,08_10000_25000,equal_project,2024-H1,6,1.7437689443516107,6,0
30m,exclude_primary_dominant_project,08_10000_25000,equal_project,2024-H2,6,1.0701994697542998,6,0
30m,exclude_primary_dominant_project,08_10000_25000,equal_project,2025-H1,6,1.0683848116755803,6,0
30m,exclude_primary_dominant_project,08_10000_25000,equal_project,2025-H2,6,0.5632127663207986,6,0
30m,exclude_primary_dominant_project,08_10000_25000,equal_project,2026-H1,6,0.17294212459007244,5,1
30m,exclude_primary_dominant_project,08_10000_25000,overlap_exposure,2024-H1,6,2.0653295659426396,6,0
30m,exclude_primary_dominant_project,08_10000_25000,overlap_exposure,2024-H2,6,0.8133512652839548,6,0
30m,exclude_primary_dominant_project,08_10000_25000,overlap_exposure,2025-H1,6,0.6424347444260944,6,0
30m,exclude_primary_dominant_project,08_10000_25000,overlap_exposure,2025-H2,6,0.6769892799170649,6,0
30m,exclude_primary_dominant_project,08_10000_25000,overlap_exposure,2026-H1,6,0.20387939793196422,5,1
30m,exclude_primary_dominant_project,09_25000_50000,equal_project,2024-H1,6,1.9272393790044529,6,0
30m,exclude_primary_dominant_project,09_25000_50000,equal_project,2024-H2,6,0.9974774050832047,6,0
30m,exclude_primary_dominant_project,09_25000_50000,equal_project,2025-H1,6,0.8097805288052631,6,0
30m,exclude_primary_dominant_project,09_25000_50000,equal_project,2025-H2,6,0.41440654594350224,6,0
30m,exclude_primary_dominant_project,09_25000_50000,equal_project,2026-H1,6,0.8996901798276419,4,2
30m,exclude_primary_dominant_project,09_25000_50000,overlap_exposure,2024-H1,6,2.6153505901197924,6,0
30m,exclude_primary_dominant_project,09_25000_50000,overlap_exposure,2024-H2,6,1.025404456544633,6,0
30m,exclude_primary_dominant_project,09_25000_50000,overlap_exposure,2025-H1,6,0.9202007264335714,6,0
30m,exclude_primary_dominant_project,09_25000_50000,overlap_exposure,2025-H2,6,0.7719037271576211,6,0
30m,exclude_primary_dominant_project,09_25000_50000,overlap_exposure,2026-H1,6,0.17797619774339202,6,0
30m,exclude_primary_dominant_project,10_50000_100000,equal_project,2024-H1,6,2.418333400224792,6,0
30m,exclude_primary_dominant_project,10_50000_100000,equal_project,2024-H2,6,1.2410569532179399,6,0
30m,exclude_primary_dominant_project,10_50000_100000,equal_project,2025-H1,6,1.13343052220198,6,0
30m,exclude_primary_dominant_project,10_50000_100000,equal_project,2025-H2,6,0.3387804015454205,5,1
30m,exclude_primary_dominant_project,10_50000_100000,equal_project,2026-H1,6,-0.016016213864292046,3,3
30m,exclude_primary_dominant_project,10_50000_100000,overlap_exposure,2024-H1,6,2.6602143293433076,6,0
30m,exclude_primary_dominant_project,10_50000_100000,overlap_exposure,2024-H2,6,1.197462076539512,6,0
30m,exclude_primary_dominant_project,10_50000_100000,overlap_exposure,2025-H1,6,0.8515935247785403,6,0
30m,exclude_primary_dominant_project,10_50000_100000,overlap_exposure,2025-H2,6,0.7085897607163627,6,0
30m,exclude_primary_dominant_project,10_50000_100000,overlap_exposure,2026-H1,6,-0.10890645598212166,3,3
30m,exclude_primary_dominant_project,11_100000_plus,equal_project,2024-H1,6,3.033279851389867,6,0
30m,exclude_primary_dominant_project,11_100000_plus,equal_project,2024-H2,6,2.998109617940774,6,0
30m,exclude_primary_dominant_project,11_100000_plus,equal_project,2025-H1,6,1.5086406465090325,6,0
30m,exclude_primary_dominant_project,11_100000_plus,equal_project,2025-H2,6,1.4193789493664182,6,0
30m,exclude_primary_dominant_project,11_100000_plus,equal_project,2026-H1,6,-0.007576232593409847,4,2
30m,exclude_primary_dominant_project,11_100000_plus,overlap_exposure,2024-H1,6,2.4377846430722427,6,0
30m,exclude_primary_dominant_project,11_100000_plus,overlap_exposure,2024-H2,6,1.2510952801394162,6,0
30m,exclude_primary_dominant_project,11_100000_plus,overlap_exposure,2025-H1,6,1.2055752283273369,6,0
30m,exclude_primary_dominant_project,11_100000_plus,overlap_exposure,2025-H2,6,0.6642652555962908,5,1
30m,exclude_primary_dominant_project,11_100000_plus,overlap_exposure,2026-H1,6,-0.21877037942437072,3,3
