window,scope,trade_size_bin,weighting,calendar_half,months,mean_difference_pp,months_positive,months_negative
24m,all_projects,11_100000_plus,equal_project,2024-H2,6,2.8975141151718358,6,0
24m,all_projects,11_100000_plus,equal_project,2025-H1,6,1.4548890338498275,6,0
24m,all_projects,11_100000_plus,equal_project,2025-H2,6,1.365498468161152,6,0
24m,all_projects,11_100000_plus,overlap_exposure,2024-H1,6,2.0718037880877778,6,0
24m,all_projects,11_100000_plus,overlap_exposure,2024-H2,6,0.9364032143328167,6,0
24m,all_projects,11_100000_plus,overlap_exposure,2025-H1,6,0.7212375892486859,6,0
24m,all_projects,11_100000_plus,overlap_exposure,2025-H2,6,0.6973440334385118,6,0
24m,exclude_primary_dominant_project,02_100_250,equal_project,2024-H1,6,0.08112830259058904,6,0
24m,exclude_primary_dominant_project,02_100_250,equal_project,2024-H2,6,0.39718151838848303,6,0
24m,exclude_primary_dominant_project,02_100_250,equal_project,2025-H1,6,0.2257138504475712,6,0
24m,exclude_primary_dominant_project,02_100_250,equal_project,2025-H2,6,0.15209483891084663,6,0
24m,exclude_primary_dominant_project,02_100_250,overlap_exposure,2024-H1,6,0.21700810937977358,5,1
24m,exclude_primary_dominant_project,02_100_250,overlap_exposure,2024-H2,6,0.47665943529762833,6,0
24m,exclude_primary_dominant_project,02_100_250,overlap_exposure,2025-H1,6,0.3786224911293646,6,0
24m,exclude_primary_dominant_project,02_100_250,overlap_exposure,2025-H2,6,0.29112411845972863,6,0
24m,exclude_primary_dominant_project,03_250_500,equal_project,2024-H1,6,0.3851104588435366,6,0
24m,exclude_primary_dominant_project,03_250_500,equal_project,2024-H2,6,0.5678972883326933,6,0
24m,exclude_primary_dominant_project,03_250_500,equal_project,2025-H1,6,0.3512339200223566,6,0
24m,exclude_primary_dominant_project,03_250_500,equal_project,2025-H2,6,0.303419019240035,6,0
24m,exclude_primary_dominant_project,03_250_500,overlap_exposure,2024-H1,6,0.8230884522018761,6,0
24m,exclude_primary_dominant_project,03_250_500,overlap_exposure,2024-H2,6,0.9778630836277024,6,0
24m,exclude_primary_dominant_project,03_250_500,overlap_exposure,2025-H1,6,0.5723824610415079,6,0
24m,exclude_primary_dominant_project,03_250_500,overlap_exposure,2025-H2,6,0.48332692628047674,6,0
24m,exclude_primary_dominant_project,04_500_1000,equal_project,2024-H1,6,0.69897721717313,6,0
24m,exclude_primary_dominant_project,04_500_1000,equal_project,2024-H2,6,0.7403077034702529,6,0
24m,exclude_primary_dominant_project,04_500_1000,equal_project,2025-H1,6,0.621130708656969,6,0
24m,exclude_primary_dominant_project,04_500_1000,equal_project,2025-H2,6,0.4800056691709489,6,0
24m,exclude_primary_dominant_project,04_500_1000,overlap_exposure,2024-H1,6,1.2550493529832094,6,0
24m,exclude_primary_dominant_project,04_500_1000,overlap_exposure,2024-H2,6,1.041198076204479,6,0
24m,exclude_primary_dominant_project,04_500_1000,overlap_exposure,2025-H1,6,0.6499638341976716,6,0
24m,exclude_primary_dominant_project,04_500_1000,overlap_exposure,2025-H2,6,0.6489655136139632,6,0
24m,exclude_primary_dominant_project,05_1000_2500,equal_project,2024-H1,6,1.1001500338537304,6,0
24m,exclude_primary_dominant_project,05_1000_2500,equal_project,2024-H2,6,0.8375224223843514,6,0
24m,exclude_primary_dominant_project,05_1000_2500,equal_project,2025-H1,6,1.040165683329558,6,0
24m,exclude_primary_dominant_project,05_1000_2500,equal_project,2025-H2,6,0.46643398619793075,5,1
24m,exclude_primary_dominant_project,05_1000_2500,overlap_exposure,2024-H1,6,1.5301133154907685,6,0
