sample,excluded_project,trade_size_bin,trade_size,full_log_odds,loo_log_odds,log_odds_change_loo_minus_full,full_odds_ratio_vs_under_100,loo_odds_ratio_vs_under_100,OR_ratio_loo_vs_full,covariance_valid,status
24m_primary_all_project_versions,0x API,02_100_250,$100–250,0.8273084816202131,0.8273236729656104,1.5191345397291833e-05,2.287154529987947,2.2871892752063014,1.0000151914607864,True,ok
24m_primary_all_project_versions,0x API,03_250_500,$250–500,1.205295906884678,1.2053106965951852,1.4789710507168152e-05,3.337746594150325,3.3377959588212427,1.0000147898198755,True,ok
24m_primary_all_project_versions,0x API,04_500_1000,$500–1k,1.460651348536876,1.4606660132948797,1.4664758003712919e-05,4.30876512239444,4.308828309855568,1.0000146648655317,True,ok
24m_primary_all_project_versions,0x API,05_1000_2500,$1k–2.5k,1.6237987659614566,1.6238132522283373,1.4486266880719967e-05,5.072322329889904,5.072395809437101,1.0000144863718072,True,ok
24m_primary_all_project_versions,0x API,06_2500_5000,$2.5k–5k,1.820145693432597,1.8201601409318253,1.4447499228298355e-05,6.172757714633513,6.172846896190055,1.000014447603594,True,ok
24m_primary_all_project_versions,0x API,07_5000_10000,$5k–10k,1.9746747087741696,1.9746895420248158,1.4833250646217877e-05,7.204275784919845,7.204382648540852,1.0000148333606593,True,ok
24m_primary_all_project_versions,0x API,08_10000_25000,$10k–25k,1.997572755231707,1.9975881604506163,1.5405218909192442e-05,7.3711427999472265,7.371256354890337,1.0000154053375703,True,ok
24m_primary_all_project_versions,0x API,09_25000_50000,$25k–50k,1.8699601737307865,1.8699759823739133,1.5808643126780098e-05,6.488037999793154,6.488140567681214,1.000015808768084,True,ok
24m_primary_all_project_versions,0x API,10_50000_100000,$50k–100k,1.613626568679092,1.613642693128551,1.6124449458976287e-05,5.020987204633078,5.02106816594022,1.0000161245794585,True,ok
24m_primary_all_project_versions,0x API,11_100000_plus,≥$100k,1.7461015254186734,1.7461168409260197,1.5315507346347346e-05,5.732212176502031,5.732299968912023,1.0000153156246294,True,ok
24m_primary_all_project_versions,0x-API,02_100_250,$100–250,0.8273084816202131,0.8273084816202294,1.63202784619898e-14,2.287154529987947,2.2871545299879843,1.0000000000000164,True,ok
24m_primary_all_project_versions,0x-API,03_250_500,$250–500,1.205295906884678,1.2052959068846825,4.440892098500626e-15,3.337746594150325,3.33774659415034,1.0000000000000044,True,ok
24m_primary_all_project_versions,0x-API,04_500_1000,$500–1k,1.460651348536876,1.4606513485368862,1.021405182655144e-14,4.30876512239444,4.308765122394484,1.0000000000000102,True,ok
24m_primary_all_project_versions,0x-API,05_1000_2500,$1k–2.5k,1.6237987659614566,1.623798765961454,-2.6645352591003757e-15,5.072322329889904,5.07232232988989,0.9999999999999973,True,ok
24m_primary_all_project_versions,0x-API,06_2500_5000,$2.5k–5k,1.820145693432597,1.8201456934326012,4.218847493575595e-15,6.172757714633513,6.172757714633539,1.0000000000000042,True,ok
