metric,revised-24m,revised-30m,abs_change_right_minus_left,rel_change_pct
gini,0.9974429532509481,0.9970764031808377,-0.0003665500701104385,-0.03674897586029841
top_1pct_share,0.984853078646614,0.9811079870496554,-0.003745091596958572,-0.38026906532140614
cr1,0.31543875635665297,0.32111938277651453,0.005680626419861556,1.8008650824880623
cr4,0.5950324719225245,0.5634414754902429,-0.03159099643228158,-5.309121421594425
cr10,0.7359044264502339,0.6806971075221513,-0.055207318928082616,-7.501968590457453
cr20,0.8344453559024365,0.7838808388910361,-0.05056451701140041,-6.0596558724586425
hhi,1348.2326246665436,1302.8126031582074,-45.420021508336276,-3.3688564330335757
