coefficient,coefficient_type,estimate,abs_estimate,exceeds_abs_threshold
"C(trade_size_bin, Treatment(reference='01_<100'))[T.10_50000_100000]",trade_size,1.613626568679092,1.613626568679092,False
"C(trade_size_bin, Treatment(reference='01_<100'))[T.04_500_1000]",trade_size,1.460651348536876,1.460651348536876,False
"C(trade_size_bin, Treatment(reference='01_<100'))[T.03_250_500]",trade_size,1.205295906884678,1.205295906884678,False
C(month)[T.2025-09],month_FE,-1.11380575896101,1.11380575896101,False
C(month)[T.2024-12],month_FE,-1.0907838498842368,1.0907838498842368,False
C(month)[T.2025-10],month_FE,-1.0831558444647607,1.0831558444647607,False
C(month)[T.2025-11],month_FE,-1.0643397857747787,1.0643397857747787,False
C(month)[T.2025-08],month_FE,-1.0319696541622907,1.0319696541622907,False
C(month)[T.2025-01],month_FE,-0.9728937659014107,0.9728937659014107,False
C(month)[T.2024-11],month_FE,-0.8468603368373708,0.8468603368373708,False
C(month)[T.2025-07],month_FE,-0.8413364422420617,0.8413364422420617,False
"C(trade_size_bin, Treatment(reference='01_<100'))[T.02_100_250]",trade_size,0.8273084816202131,0.8273084816202131,False
C(month)[T.2025-12],month_FE,-0.7921235171647504,0.7921235171647504,False
C(month)[T.2025-05],month_FE,-0.729691555148878,0.729691555148878,False
C(month)[T.2025-02],month_FE,-0.715185527705363,0.715185527705363,False
C(month)[T.2025-03],month_FE,-0.7095999173333671,0.7095999173333671,False
C(month)[T.2025-06],month_FE,-0.6446832969544093,0.6446832969544093,False
C(month)[T.2024-03],month_FE,-0.6408325004903072,0.6408325004903072,False
C(month)[T.2025-04],month_FE,-0.6372286943620217,0.6372286943620217,False
C(month)[T.2024-10],month_FE,-0.5090934001405392,0.5090934001405392,False
C(month)[T.2024-09],month_FE,-0.2898965331158087,0.2898965331158087,False
C(month)[T.2024-02],month_FE,-0.2460605230079554,0.2460605230079554,False
C(month)[T.2024-04],month_FE,-0.14881919420977213,0.14881919420977213,False
C(month)[T.2024-08],month_FE,-0.14267309595776068,0.14267309595776068,False
C(month)[T.2024-05],month_FE,0.12474572215568284,0.12474572215568284,False
C(month)[T.2024-06],month_FE,-0.02040525464075344,0.02040525464075344,False
C(month)[T.2024-07],month_FE,-0.00684629136807979,0.00684629136807979,False
