window,project,victim_trade_count,total_volume_usd,avg_trade_size,pooled_market_avg_trade_usd,avg_trade_size_ratio_to_pooled,avg_trade_size_ge_10x_pooled,victim_trade_share,volume_share,unique_eoas_in_protocol,unique_takers_in_protocol
revised-30m,fluid,1302.0,862384790.7857584,662353.9099737008,7085.126005614031,93.48512778020778,True,0.0003037515415040787,0.02839625167094388,442,52
revised-30m,maverick,13065.0,2515832661.8562694,192562.7754960788,7085.126005614031,27.178454602430236,True,0.0030480137402079787,0.08284030306582613,7056,449
revised-30m,curve,25460.0,3235382465.7957554,127077.08035332896,7085.126005614031,17.93575445978478,True,0.0059397190834822155,0.10653334304143489,11739,701
revised-30m,balancer,17842.0,1063503641.043249,59606.75042278046,7085.126005614031,8.412941474230655,False,0.00416246928073408,0.03501861044709879,10738,10738
revised-30m,fraxswap,1212.0,15414103.811452055,12717.907435191466,7085.126005614031,1.7950149969265468,False,0.0002827548911696954,0.0005075492701039368,310,116
revised-30m,solidly,12556.0,106630012.30466887,8492.355232929984,7085.126005614031,1.198617388907538,False,0.0029292660177612996,0.0035110691856246306,9676,817
revised-30m,pancakeswap,51487.0,351641898.3258197,6829.72203324761,7085.126005614031,0.9639520917251088,False,0.012011717064071045,0.011578719789121466,29178,3811
revised-30m,ekubo,47481.0,295377803.0104462,6220.968450758118,7085.126005614031,0.8780321543793036,False,0.011077132828076161,0.00972607880138142,27367,27367
revised-30m,uniswap,4001516.0,21527734947.7045,5379.894756813293,7085.126005614031,0.759322382206108,False,0.9335381362160023,0.708856401471785,774463,348973
revised-30m,dodo,48397.0,248441794.3069973,5133.413110461336,7085.126005614031,0.7245337777188128,False,0.011290832069257219,0.008180589212727652,26743,81
revised-30m,supernova,829.0,3622801.424813653,4370.086157796928,7085.126005614031,0.6167972389388995,False,0.00019340247919115303,0.00011929011516904114,571,87
revised-30m,bancor,782.0,2931126.9191096863,3748.2441420839978,7085.126005614031,0.5290299903084302,False,0.00018243756179430842,9.651494154793663e-05,198,56
revised-30m,shibaswap,9088.0,33883703.72572098,3728.400497988664,7085.126005614031,0.5262292434932557,False,0.0021201950915430627,0.0011157086590808198,4121,1363
revised-30m,sushiswap,51460.0,102925344.4858891,2000.1038570907328,7085.126005614031,0.28229615895411225,False,0.01200541806897073,0.0033890834075087323,21236,5693
revised-30m,verse_dex,1173.0,1269396.1664491866,1082.1791700334072,7085.126005614031,0.152739579956083,False,0.0002736563426914626,4.17981548350119e-05,626,200
revised-30m,xchange,15.0,15723.808774859115,1048.253918323941,7085.126005614031,0.1479513444776194,False,3.49944172239722e-06,5.177471077497449e-07,9,7
revised-30m,defiswap,2578.0,2655858.9399974053,1030.201295576961,7085.126005614031,0.1454033837592531,False,0.0006014373840226689,8.74510307562094e-05,1889,384
revised-30m,kyberswap,125.0,21623.054585382502,172.98443668306,7085.126005614031,0.02441515317384512,False,2.916201435331017e-05,7.119950472939377e-07,55,9
revised-30m,0x API,5.0,51.24730874752758,10.249461749505516,7085.126005614031,0.0014466167209142315,False,1.1664805741324067e-06,1.6874503031615725e-09,5,5
revised-30m,swapr,23.0,191.35276103637656,8.319685262451156,7085.126005614031,0.0011742466197296843,False,5.365810641009071e-06,6.300785007314471e-09,22,13
revised-30m,apeswap,2.0,0.14164779626,0.07082389813,7085.126005614031,9.996138117216458e-06,False,4.665922296529627e-07,4.664120372030995e-12,2,1
