Tier,Avg Tx Size (USD),Min Tx (USD),Max Tx (USD),Unique Victims,Victim Trades (N),Total Volume (USD),Event Share (%),Volume Share (%),Attacks / Victim,Attacks / $1k Traded,Avg Vol / Victim (USD)
Retail,418.83003438024576,1.2390000000000001e-23,1024.43931,225280,1905366,798024507.2869513,50.75672936915511,2.905026824396595,8.457768110795454,2.3876033663147567,3542.3673086246063
Small,3329.753271477596,1024.44,9999.999610388457,149243,1521961,5067754618.811314,40.54326706124108,18.44800876749632,10.197871926991551,0.3003225519938433,33956.39741100965
Institutional,66152.1302103411,10000.000422095753,21005460.0,38606,326591,21604690357.52551,8.700003569603812,78.6469644081071,8.459591773299486,0.015116671176277208,559620.016513638
