window,scope,trade_size_bin,weighting,excluded_project,months,mean_standardized_bin_rate_pct,mean_standardized_reference_rate_pct,equal_month_standardized_difference_pp,equal_month_pooled_difference_pp,equal_month_matched_pooled_difference_pp,months_positive,months_negative,months_zero,observed_month_min_pp,observed_month_max_pp,inference_status
24m,exclude_primary_dominant_project,04_500_1000,overlap_exposure,uniswap,24,1.0965086703131375,0.19771447606330672,0.8987941942498309,0.8624780316117365,0.8625309962285886,24,0,0,0.2724192372553469,1.7005928241623565,descriptive_sensitivity_not_a_hypothesis_test
24m,exclude_primary_dominant_project,05_1000_2500,equal_project,uniswap,24,1.005679289045834,0.14461125760444124,0.8610680314413927,0.810764455595208,0.8108311365869723,23,1,0,-0.5127311347841045,1.8412793044912328,descriptive_sensitivity_not_a_hypothesis_test
24m,exclude_primary_dominant_project,05_1000_2500,overlap_exposure,uniswap,24,1.1111889817036669,0.18948869610636754,0.9217002855972992,0.810764455595208,0.8108311365869723,24,0,0,0.294412028007936,1.820678557505595,descriptive_sensitivity_not_a_hypothesis_test
24m,exclude_primary_dominant_project,06_2500_5000,equal_project,uniswap,24,1.3249388737971686,0.1052592412681669,1.2196796325290018,0.774747824442736,0.7748770979673951,24,0,0,0.37996408133381526,4.855247858850158,descriptive_sensitivity_not_a_hypothesis_test
24m,exclude_primary_dominant_project,06_2500_5000,overlap_exposure,uniswap,24,1.1147213580245332,0.17388297650543058,0.9408383815191028,0.774747824442736,0.7748770979673951,24,0,0,0.27205444238517645,2.1547044720318467,descriptive_sensitivity_not_a_hypothesis_test
24m,exclude_primary_dominant_project,07_5000_10000,equal_project,uniswap,24,1.3323683830490678,0.10764349998547895,1.2247248830635886,0.6873150197701928,0.6873461037135927,24,0,0,0.18821257420396487,3.3986669071714735,descriptive_sensitivity_not_a_hypothesis_test
24m,exclude_primary_dominant_project,07_5000_10000,overlap_exposure,uniswap,24,1.07398635680065,0.15395474431353418,0.920031612487116,0.6873150197701928,0.6873461037135927,24,0,0,0.23176666537294122,1.9305760452518343,descriptive_sensitivity_not_a_hypothesis_test
24m,exclude_primary_dominant_project,08_10000_25000,equal_project,uniswap,24,1.2178609098654982,0.10646941183992605,1.1113914980255724,0.6757385122792968,0.6769887233812509,24,0,0,0.08270065425334495,2.2172225894077924,descriptive_sensitivity_not_a_hypothesis_test
24m,exclude_primary_dominant_project,08_10000_25000,overlap_exposure,uniswap,24,1.1795867702831941,0.13006055639075573,1.0495262138924384,0.6757385122792968,0.6769887233812509,24,0,0,0.34415947368161925,2.309327529240564,descriptive_sensitivity_not_a_hypothesis_test
24m,exclude_primary_dominant_project,09_25000_50000,equal_project,uniswap,24,1.139160747837512,0.10193478312840631,1.0372259647091058,0.9273102518480419,0.925776860048602,24,0,0,0.04001997401906865,3.310347773785143,descriptive_sensitivity_not_a_hypothesis_test
24m,exclude_primary_dominant_project,09_25000_50000,overlap_exposure,uniswap,24,1.4368133287091578,0.10359845364525344,1.3332148750639043,0.9273102518480419,0.925776860048602,24,0,0,0.30080026222628053,3.151419853563246,descriptive_sensitivity_not_a_hypothesis_test
24m,exclude_primary_dominant_project,10_50000_100000,equal_project,uniswap,24,1.3913952901471893,0.10849497084965624,1.2829003192975332,0.8699912633618404,0.8655064019753453,23,1,0,-0.012808816047892154,3.9705993038505096,descriptive_sensitivity_not_a_hypothesis_test
24m,exclude_primary_dominant_project,10_50000_100000,overlap_exposure,uniswap,24,1.447790777756402,0.09332585491197148,1.3544649228444305,0.8699912633618404,0.8655064019753453,24,0,0,0.07902747781721249,3.643719921558114,descriptive_sensitivity_not_a_hypothesis_test
24m,exclude_primary_dominant_project,11_100000_plus,equal_project,uniswap,24,2.3529423494509003,0.11309008314937724,2.2398522663015235,0.9609467184422872,0.9543110228706948,24,0,0,0.019782334651203323,11.304744774709667,descriptive_sensitivity_not_a_hypothesis_test
24m,exclude_primary_dominant_project,11_100000_plus,overlap_exposure,uniswap,24,1.4859016474040352,0.09622154562021323,1.3896801017838218,0.9609467184422872,0.9543110228706948,23,1,0,-0.09460893257460262,3.131421041800463,descriptive_sensitivity_not_a_hypothesis_test
30m,all_projects,02_100_250,equal_project,,30,0.37814215754911473,0.16587830475328574,0.21226385279582904,0.7048139349373773,0.7047864824058632,30,0,0,0.008490457365748617,1.184919382873559,descriptive_sensitivity_not_a_hypothesis_test
30m,all_projects,02_100_250,overlap_exposure,,30,1.2046558569510266,0.5226676212233111,0.6819882357277155,0.7048139349373773,0.7047864824058632,30,0,0,0.15276126827333453,1.5025961974815871,descriptive_sensitivity_not_a_hypothesis_test
30m,all_projects,03_250_500,equal_project,,30,0.5320651641877325,0.16336738667154324,0.3686977775161893,1.1499964560239284,1.1499641892791173,28,2,0,-0.029511119563443034,0.8850733582503425,descriptive_sensitivity_not_a_hypothesis_test
30m,all_projects,03_250_500,overlap_exposure,,30,1.662042547872479,0.5160353248045434,1.146007223067936,1.1499964560239284,1.1499641892791173,30,0,0,0.12438450492697249,3.0056036801328565,descriptive_sensitivity_not_a_hypothesis_test
30m,all_projects,04_500_1000,equal_project,,30,0.754428365563273,0.15949887032159296,0.5949294952416803,1.49482374601048,1.4947927808489447,30,0,0,0.1825897448316092,1.0562090298631674,descriptive_sensitivity_not_a_hypothesis_test
30m,all_projects,04_500_1000,overlap_exposure,,30,2.039789566039235,0.5032878385502477,1.5365017274889872,1.49482374601048,1.4947927808489447,29,1,0,-0.010140673365349392,4.203674647194661,descriptive_sensitivity_not_a_hypothesis_test
30m,all_projects,05_1000_2500,equal_project,,30,0.9395386510856305,0.19078058512924567,0.7487580659563846,1.6515406489274227,1.6515178845397185,28,2,0,-0.48955395889387676,1.8034532121020252,descriptive_sensitivity_not_a_hypothesis_test
30m,all_projects,05_1000_2500,overlap_exposure,,30,2.2737344510261246,0.4881680379133924,1.785566413112733,1.6515406489274227,1.6515178845397185,29,1,0,-0.023836555385226606,5.422759499441829,descriptive_sensitivity_not_a_hypothesis_test
30m,all_projects,06_2500_5000,equal_project,,30,1.223642251054404,0.14844224993898095,1.075200001115423,1.82149524550447,1.8215962115466817,29,1,0,-0.10100156215056047,4.722713792614512,descriptive_sensitivity_not_a_hypothesis_test
