window,project,candidate_trade_events,attacked_trade_events,unattacked_trade_events,candidate_volume_usd,attacked_volume_usd,attack_rate,share_of_all_attacks
revised-30m,dodo,1468487.0,48397,1420090.0,46516720342.60157,248441794.3069973,0.0329570503518247,0.011290832069257219
revised-30m,solidly,423886.0,12556,411330.0,3312047740.542039,106630012.30466884,0.02962117173013499,0.0029292660177612996
revised-30m,uniswap,244840669.0,4001516,240839153.0,1444281009073.6436,21527734947.704437,0.016343346946172572,0.9335381362160023
revised-30m,maverick,1065879.0,13065,1052814.0,33412967132.078236,2515832661.85627,0.012257488889451804,0.0030480137402079787
revised-30m,shibaswap,835103.0,9088,826015.0,1941423762.766094,33883703.72572101,0.01088248994435417,0.0021201950915430627
revised-30m,pancakeswap,5016492.0,51487,4965005.0,21951290500.524307,351641898.3258197,0.010263546717506976,0.012011717064071045
revised-30m,ekubo,4672624.0,47481,4625143.0,50582443142.99144,295377803.01044637,0.010161528083577879,0.011077132828076161
revised-30m,sushiswap,5244862.0,51460,5193402.0,5766793290.196881,102925344.48588917,0.009811506956713066,0.01200541806897073
revised-30m,verse_dex,147055.0,1173,145882.0,121560465.11725408,1269396.1664491866,0.007976607391792187,0.0002736563426914626
revised-30m,swapr,4077.0,23,4054.0,5621300.619037123,191.35276103637656,0.00564140299239637,5.365810641009071e-06
revised-30m,balancer,3313450.0,17842,3295608.0,56228324074.58268,1063503641.0432494,0.005384719853928684,0.00416246928073408
revised-30m,fraxswap,227846.0,1212,226634.0,1043816522.7941284,15414103.81145206,0.005319382389859817,0.0002827548911696954
revised-30m,defiswap,570963.0,2578,568385.0,143858818.94464448,2655858.9399974053,0.004515178741879946,0.0006014373840226689
revised-30m,apeswap,712.0,2,710.0,1969.5828282105358,0.14164779626,0.0028089887640449437,4.665922296529627e-07
revised-30m,curve,9400557.0,25460,9375097.0,232683778996.18973,3235382465.795754,0.0027083501541451216,0.0059397190834822155
revised-30m,xchange,5679.0,15,5664.0,7988653.540367485,15723.808774859113,0.002641310089804543,3.49944172239722e-06
revised-30m,bancor,668540.0,782,667758.0,892559853.5762631,2931126.919109687,0.0011697131061716576,0.00018243756179430842
revised-30m,kyberswap,111053.0,125,110928.0,34982043.167663194,21623.0545853825,0.0011255886828811469,2.916201435331017e-05
revised-30m,supernova,869871.0,829,869042.0,1994257420.2411983,3622801.4248136533,0.0009530148723201486,0.00019340247919115303
revised-30m,fluid,2078125.0,1302,2076823.0,197178480013.82425,862384790.7857584,0.0006265263157894736,0.0003037515415040787
revised-30m,0x API,1747685.0,5,1747680.0,4230753915.641136,51.24730874752758,2.860927455462512e-06,1.1664805741324067e-06
revised-30m,0x-API,1393778.0,0,1393778.0,21359684566.90508,0.0,0.0,0.0
revised-30m,1inch-LOP,2095495.0,0,2095495.0,14265129595.696154,0.0,0.0,0.0
revised-30m,agra,107.0,0,107.0,63876.89221005044,0.0,0.0,0.0
revised-30m,airswap,212400.0,0,212400.0,418511797.5848984,0.0,0.0,0.0
revised-30m,carbon_defi,46775.0,0,46775.0,13865354.093312353,0.0,0.0,0.0
revised-30m,clipper,132970.0,0,132970.0,461481237.8172578,0.0,0.0,0.0
revised-30m,dfx,683.0,0,683.0,1079135.487067906,0.0,0.0,0.0
revised-30m,eulerswap,46411.0,0,46411.0,2303057903.0173826,0.0,0.0,0.0
revised-30m,integral,100638.0,0,100638.0,4635185638.811907,0.0,0.0,0.0
revised-30m,mauve,253.0,0,253.0,4405847.450852808,0.0,0.0,0.0
revised-30m,native,915020.0,0,915020.0,17916379324.880493,0.0,0.0,0.0
revised-30m,origin_arm,63119.0,0,63119.0,3246087272.498197,0.0,0.0,0.0
revised-30m,swaap,489467.0,0,489467.0,7873329683.820591,0.0,0.0,0.0
revised-30m,valantis,8110.0,0,8110.0,306312715.1595202,0.0,0.0,0.0
