window,project,victim_trade_count,total_volume_usd,avg_trade_size,pooled_market_avg_trade_usd,avg_trade_size_ratio_to_pooled,avg_trade_size_ge_10x_pooled,victim_trade_share,volume_share,unique_eoas_in_protocol,unique_takers_in_protocol
revised-24m,fluid,961.0,725560852.0003388,755006.089490467,7332.075157273843,102.97304286924245,True,0.0002560033586788202,0.026361444827904205,322,36
revised-24m,maverick,10753.0,2281268365.502845,212151.80558940247,7332.075157273843,28.934755991819806,True,0.0028645204119389736,0.08288419915304136,5902,338
revised-24m,curve,18112.0,2683713936.002951,148173.2517669474,7332.075157273843,20.20891065470748,True,0.004824904091977931,0.09750605571231453,8563,584
revised-24m,balancer,14023.0,941674668.0730604,67152.15489360766,7332.075157273843,9.158683381332887,False,0.0037356244523965615,0.034213401591065166,8580,8580
revised-24m,fraxswap,671.0,14936807.721009472,22260.51821312887,7332.075157273843,3.0360461036798223,False,0.00017874948353120538,0.0005426916730096967,249,104
revised-24m,dodo,15303.0,212691327.6614556,13898.668735637168,7332.075157273843,1.895598236175864,False,0.004076607073737758,0.007727609178559346,9529,58
revised-24m,pancakeswap,29354.0,332424659.3631587,11324.680090044243,7332.075157273843,1.544539553554563,False,0.007819690520976159,0.012077821306203364,18168,2806
revised-24m,solidly,12015.0,106617003.88517572,8873.658250950955,7332.075157273843,1.2102519492244665,False,0.0032007079651675597,0.0038736630537423147,9214,796
revised-24m,ekubo,33076.0,264523022.23019856,7997.430832936225,7332.075157273843,1.0907458886318575,False,0.008811204049594857,0.009610784590991964,19777,19777
revised-24m,uniswap,3562438.0,19818546021.99978,5563.197456910065,7332.075157273843,0.7587480130220775,False,0.9490073809417887,0.720057464632868,696384,302247
revised-24m,bancor,658.0,2869358.950248528,4360.727887915695,7332.075157273843,0.5947467523692253,False,0.00017528637878320885,0.00010425100451587536,150,50
revised-24m,shibaswap,8040.0,33628213.39544693,4182.613606398872,7332.075157273843,0.5704542734057326,False,0.0021417970902993908,0.0012217973029292509,3868,1218
revised-24m,sushiswap,44902.0,101245889.21382695,2254.819144221348,7332.075157273843,0.30752810027928273,False,0.011961563799580006,0.0036785169916542775,19450,5200
revised-24m,xchange,12.0,15723.797304599855,1310.316442049988,7332.075157273843,0.17871017603387196,False,3.1967120750737174e-06,5.712849776660282e-07,6,6
revised-24m,verse_dex,982.0,1192480.776381965,1214.338876152714,7332.075157273843,0.1656200802780942,False,0.00026159760481019923,4.332581630922235e-05,573,175
revised-24m,defiswap,2413.0,2631489.6914108265,1090.5469089974415,7332.075157273843,0.1487364607706668,False,0.00064280551976274,9.560861797335887e-05,1770,340
revised-24m,kyberswap,122.0,21596.593528512614,177.0212584304313,7332.075157273843,0.02414340478422619,False,3.2499906096582796e-05,7.846583883391389e-07,52,7
revised-24m,swapr,15.0,185.4114356714751,12.36076237809834,7332.075157273843,0.0016858477460962396,False,3.995890093842147e-06,6.736462308352075e-09,14,10
revised-24m,0x API,5.0,51.24730874752758,10.249461749505516,7332.075157273843,0.001397893710805386,False,1.331963364614049e-06,1.8619432104171603e-09,5,5
revised-24m,apeswap,2.0,0.14164779626,0.07082389813,7332.075157273843,9.6594615590838e-06,False,5.327853458456196e-07,5.14641956743893e-12,2,1
