project,candidate_trade_events,attacked_trade_events,candidate_trade_share,attack_share,relative_attack_concentration_ratio,attack_share_minus_candidate_share_pp,window,interpretation
clipper,129821.0,0,0.0005934364043944199,0.0,0.0,-0.059343640439441986,revised-24m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
dfx,432.0,0,1.974753904979852e-06,0.0,0.0,-0.00019747539049798523,revised-24m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
eulerswap,27157.0,0,0.0001241397958276339,0.0,0.0,-0.01241397958276339,revised-24m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
integral,85376.0,0,0.000390269882850833,0.0,0.0,-0.0390269882850833,revised-24m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
mauve,253.0,0,1.1565109674997746e-06,0.0,0.0,-0.00011565109674997746,revised-24m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
native,304220.0,0,0.0013906472985485432,0.0,0.0,-0.13906472985485432,revised-24m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
origin_arm,32693.0,0,0.0001494459014247831,0.0,0.0,-0.01494459014247831,revised-24m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
swaap,307705.0,0,0.0014065778942866328,0.0,0.0,-0.14065778942866328,revised-24m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
valantis,7891.0,0,3.607125709304633e-05,0.0,0.0,-0.003607125709304633,revised-24m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
dodo,1468487.0,48397,0.005095041652741918,0.011290832069257219,2.216043133461139,0.6195790416515301,revised-30m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
solidly,423886.0,12556,0.0014707088493218943,0.0029292660177612996,1.9917375346669792,0.14585571684394052,revised-30m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
uniswap,244840669.0,4001516,0.8494957101017556,0.9335381362160023,1.0989321371666254,8.404242611424673,revised-30m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
maverick,1065879.0,13065,0.0036981586502181515,0.0030480137402079787,0.8241976692990656,-0.06501449100101728,revised-30m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
shibaswap,835103.0,9088,0.0028974615160568215,0.0021201950915430627,0.7317422784715544,-0.07772664245137588,revised-30m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
pancakeswap,5016492.0,51487,0.01740514944337036,0.012011717064071045,0.6901243280416832,-0.5393432379299314,revised-30m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
ekubo,4672624.0,47481,0.016212069911140888,0.011077132828076161,0.6832645608358737,-0.5134937083064726,revised-30m,descriptive exposure normalization: ratio >1 indicates attack share exceeds candidate-positive-USD-DEX-trade share; no causal or significance interpretation
