window,analysis_role,protocol_count,victim_trade_count,total_victim_trade_volume_usd,pooled_market_avg_victim_trade_usd,min_protocol_avg_trade_usd,median_protocol_avg_trade_usd_unweighted,max_protocol_avg_trade_usd,max_protocol_avg_ratio_to_pooled,protocols_ge_10x_pooled_avg,cr1_volume_share,cr2_volume_share,cr4_volume_share,protocol_volume_hhi_0_10000,gini_protocol_volume,largest_volume_protocol,largest_avg_trade_protocol
revised-24m,primary,20,3753857,27523561653.658516,7332.075157273843,0.07082389813,4961.962672412879,755006.089490467,102.97304286924245,3,0.720057464632868,0.8175635203451825,0.934661121089289,5370.537591997111,0.8771087400698421,uniswap,fluid
revised-30m,temporal robustness extension,21,4286398,30369669940.21197,7085.126005614031,0.07082389813,4370.086157796928,662353.9099737008,93.48512778020778,3,0.708856401471785,0.8153897445132199,0.9332486580261448,5230.428513324805,0.8814993125979524,uniswap,fluid
