window,analysis_role,start_date,end_date,calendar_days,days_positive_volume,share_days_positive_volume,days_positive_trades,share_days_positive_trades,days_positive_bots,share_days_positive_bots,min_daily_volume_usd,median_daily_volume_usd,mean_daily_volume_usd,p10_daily_volume_usd,p90_daily_volume_usd,min_daily_trade_count,median_daily_trade_count,min_daily_unique_bots,median_daily_unique_bots
revised-24m,primary,2024-01-01,2025-12-31,731,731,1.0,731,1.0,731,1.0,93006121.47107106,276314339.6265128,338611291.3405325,165730376.91789222,580586225.7627159,2782,8284.0,60,169.0
revised-30m,descriptive persistence extension,2024-01-01,2026-06-30,912,912,1.0,912,1.0,912,1.0,66699541.15625914,283520308.1805829,338012650.1043123,165633577.26441988,549463289.5333412,2027,7275.0,53,137.0
