outcome,specification,hac_lag,event,test,linear_time_term,quadratic_time_term,f_stat,p_value,df_num,df_denom,role
log daily USD volume,quadratic_background_trend_ITS,14,dencun,D_dencun=0 and S_dencun=0,0.002995001244693752,3.945973523185441e-06,3.241455898564459,0.03967993488176122,2.0,718.0,functional-form robustness diagnostic for upgrade-date ITS inference only; raw p-values are reported as sensitivity diagnostics
log daily USD volume,quadratic_background_trend_ITS,14,pectra,D_pectra=0 and S_pectra=0,0.002995001244693752,3.945973523185441e-06,7.748689371119696,0.0004683712494515586,2.0,718.0,functional-form robustness diagnostic for upgrade-date ITS inference only; raw p-values are reported as sensitivity diagnostics
log daily trade count,quadratic_background_trend_ITS,14,dencun,D_dencun=0 and S_dencun=0,-0.004027823434232996,-5.013167680009712e-06,6.036782529944819,0.002512219806378245,2.0,718.0,functional-form robustness diagnostic for upgrade-date ITS inference only; raw p-values are reported as sensitivity diagnostics
log daily trade count,quadratic_background_trend_ITS,14,pectra,D_pectra=0 and S_pectra=0,-0.004027823434232996,-5.013167680009712e-06,16.31761509476879,1.174044906708057e-07,2.0,718.0,functional-form robustness diagnostic for upgrade-date ITS inference only; raw p-values are reported as sensitivity diagnostics
log daily unique bots,quadratic_background_trend_ITS,14,dencun,D_dencun=0 and S_dencun=0,-0.002699747976579467,-1.0047215415748186e-06,15.393949841657147,2.8435439752389754e-07,2.0,718.0,functional-form robustness diagnostic for upgrade-date ITS inference only; raw p-values are reported as sensitivity diagnostics
log daily unique bots,quadratic_background_trend_ITS,14,pectra,D_pectra=0 and S_pectra=0,-0.002699747976579467,-1.0047215415748186e-06,1.2850182394116172,0.2772809876184422,2.0,718.0,functional-form robustness diagnostic for upgrade-date ITS inference only; raw p-values are reported as sensitivity diagnostics
