source_quantile_tier_label,victim_trades,addresses_with_trade_in_tier,victim_traded_notional_usd_not_loss,min_tx,max_tx,pct_of_trades,pct_of_volume,cutoff_p50,cutoff_p90,interpretation
Retail,1876928,209181,769240407.1047761,1.2390000000000001e-23,1001.8473368933513,49.99998668036636,2.794843257513255,1001.8474213724877,8986.607999999998,outcome_quantile_context_not_retail_identity_or_H2_test
Small,1501543,142031,4628174818.952997,1001.8474213724877,8986.590045019468,40.00000532785346,16.815319460436985,1001.8474213724877,8986.607999999998,outcome_quantile_context_not_retail_identity_or_H2_test
Institutional,375386,40517,22126146427.60065,8986.607999999998,2.100546e+07,10.000007991780189,80.38983728204977,1001.8474213724877,8986.607999999998,outcome_quantile_context_not_retail_identity_or_H2_test
