protocol_version,trade_size_bin,candidate_trades,attacked_trades,trade_size
dfx::0.5,02_100_250,62,0,$100–250
dfx::0.5,03_250_500,51,0,$250–500
dfx::0.5,04_500_1000,74,0,$500–1k
dfx::0.5,05_1000_2500,110,0,$1k–2.5k
dfx::0.5,06_2500_5000,30,0,$2.5k–5k
dfx::0.5,07_5000_10000,18,0,$5k–10k
dfx::0.5,08_10000_25000,22,0,$10k–25k
dfx::0.5,09_25000_50000,3,0,$25k–50k
dodo::1,01_<100,13736,0,<$100
dodo::1,02_100_250,3321,0,$100–250
dodo::1,03_250_500,2649,0,$250–500
dodo::1,04_500_1000,4545,0,$500–1k
dodo::1,05_1000_2500,5722,0,$1k–2.5k
dodo::1,06_2500_5000,6638,0,$2.5k–5k
dodo::1,07_5000_10000,10452,0,$5k–10k
dodo::1,08_10000_25000,16233,0,$10k–25k
dodo::1,09_25000_50000,11955,0,$25k–50k
dodo::1,10_50000_100000,10594,0,$50k–100k
dodo::1,11_100000_plus,25523,0,≥$100k
eulerswap::1,01_<100,1185,0,<$100
eulerswap::1,02_100_250,868,0,$100–250
eulerswap::1,03_250_500,1905,0,$250–500
eulerswap::1,04_500_1000,2436,0,$500–1k
eulerswap::1,05_1000_2500,3407,0,$1k–2.5k
eulerswap::1,06_2500_5000,1812,0,$2.5k–5k
eulerswap::1,07_5000_10000,1773,0,$5k–10k
eulerswap::1,08_10000_25000,2089,0,$10k–25k
eulerswap::1,09_25000_50000,2125,0,$25k–50k
eulerswap::1,10_50000_100000,3057,0,$50k–100k
eulerswap::1,11_100000_plus,6500,0,≥$100k
fluid::1,02_100_250,25812,0,$100–250
integral::size,01_<100,141,0,<$100
integral::size,02_100_250,46,0,$100–250
integral::size,03_250_500,72,0,$250–500
integral::size,04_500_1000,128,0,$500–1k
integral::size,05_1000_2500,488,0,$1k–2.5k
integral::size,06_2500_5000,1718,0,$2.5k–5k
integral::size,07_5000_10000,11399,0,$5k–10k
integral::size,08_10000_25000,23275,0,$10k–25k
integral::size,09_25000_50000,19870,0,$25k–50k
integral::size,10_50000_100000,16975,0,$50k–100k
integral::size,11_100000_plus,11264,0,≥$100k
