sample,excluded_project,excluded_project_candidate_share_pct,remaining_cells,remaining_protocol_version_clusters,max_abs_log_odds_change_vs_full,median_abs_log_odds_change_vs_full,min_OR_ratio_loo_vs_full_across_bins,max_OR_ratio_loo_vs_full_across_bins,covariance_valid,status
24m_primary_all_project_versions,0x API,0.6139391039652894,11073,58,1.6124449458976287e-05,1.5012298021754855e-05,1.000014447603594,1.0000161245794585,True,ok
24m_primary_all_project_versions,0x-API,0.6270863023590685,10699,56,5.3512749786932545e-14,1.326716514427062e-14,0.9999999999999973,1.0000000000000535,True,ok
24m_primary_all_project_versions,1inch-LOP,0.6848999656411106,10732,56,2.353672812205332e-14,1.1102230246251565e-14,0.9999999999999791,1.0000000000000235,True,ok
24m_primary_all_project_versions,airswap,0.09709206699484273,11030,58,2.020605904817785e-14,5.10702591327572e-15,0.9999999999999954,1.0000000000000202,True,ok
24m_primary_all_project_versions,apeswap,0.0002943846099090335,11222,58,1.3657939379463357e-06,9.148198845121414e-07,0.9999986342069948,0.9999995226835054,True,ok
24m_primary_all_project_versions,balancer,1.0612007502090084,10611,56,0.028265727788321593,0.002088796302485152,0.9721300105188891,1.0038319786779029,True,ok
24m_primary_all_project_versions,bancor,0.204212409722891,10782,57,0.0006622048720104079,0.00030606146101042064,0.999338014337246,0.999843486673143,True,ok
24m_primary_all_project_versions,carbon_defi,0.010799435417858567,11042,58,3.2862601528904634e-14,7.66053886991358e-15,0.9999999999999671,1.000000000000025,True,ok
24m_primary_all_project_versions,clipper,0.059343640439441986,11005,58,2.9531932455029164e-14,1.0769163338864018e-14,0.9999999999999705,1.000000000000021,True,ok
24m_primary_all_project_versions,curve,2.771193182330363,9168,51,0.06064107050540324,0.001540300039849507,0.9411609895965276,1.0024710654704587,True,ok
24m_primary_all_project_versions,defiswap,0.21187143788908022,11021,58,0.002142489653071289,0.0017141880553027677,0.9978598038396649,0.9991150938111147,True,ok
24m_primary_all_project_versions,dfx,0.0001974753904979852,11161,58,2.55351295663786e-14,8.826273045769994e-15,0.9999999999999745,1.000000000000019,True,ok
24m_primary_all_project_versions,dodo,0.37376148874795284,10726,57,0.019052386049124292,0.007344046306828611,0.9811279634788367,1.0146226999320664,True,ok
24m_primary_all_project_versions,ekubo,1.2387434684786034,11137,58,0.015160971135733448,0.003354313881357096,0.9849533777776012,1.0051447795060293,True,ok
24m_primary_all_project_versions,eulerswap,0.01241397958276339,11175,58,1.9761969838327786e-14,9.2148511043888e-15,0.9999999999999865,1.0000000000000198,True,ok
24m_primary_all_project_versions,fluid,0.6515531375466013,11085,58,0.021981630764436044,0.00023161666753468424,0.9782582047415701,1.0031855185351395,True,ok
24m_primary_all_project_versions,fraxswap,0.07098691745651185,10992,58,0.001524993380169537,0.00027330519889012805,0.9984761688313719,1.000380713648443,True,ok
24m_primary_all_project_versions,integral,0.0390269882850833,10992,58,2.398081733190338e-14,9.2148511043888e-15,0.9999999999999953,1.000000000000024,True,ok
24m_primary_all_project_versions,kyberswap,0.02978450004323431,10956,56,0.00010571625028865661,9.019007577659721e-05,1.0000087407604186,1.0001057218384484,True,ok
24m_primary_all_project_versions,mauve,0.00011565109674997745,11233,58,4.1522341120980855e-14,8.770761894538737e-15,0.9999999999999585,1.0000000000000275,True,ok
24m_primary_all_project_versions,maverick,0.37804469339833735,10817,57,0.06546317129048518,0.0005839378921943528,0.9366335411290405,0.9998791320149188,True,ok
24m_primary_all_project_versions,native,0.1390647298548543,11159,58,1.7319479184152442e-14,7.438494264988549e-15,0.9999999999999882,1.0000000000000173,True,ok
24m_primary_all_project_versions,origin_arm,0.014944590142478311,10983,58,1.6209256159527285e-14,7.105427357601002e-15,0.9999999999999862,1.0000000000000162,True,ok
24m_primary_all_project_versions,pancakeswap,1.358799820641148,10546,55,0.02234530644879018,0.009452289110011336,1.0017882888709466,1.0225968327928747,True,ok
24m_primary_all_project_versions,shibaswap,0.30306484183071464,10986,58,0.003625855282538115,0.0011204508262082635,0.9963807101931749,1.0009733174268212,True,ok
24m_primary_all_project_versions,solidly,0.18678017820288947,10998,58,0.006087418407026091,0.001061472379647821,0.9989354111433734,1.0061059843923121,True,ok
24m_primary_all_project_versions,sushiswap,1.8147764398474693,10757,57,0.010546505948651141,0.007040946931853975,1.0020419659980875,1.0106023163716082,True,ok
24m_primary_all_project_versions,swaap,0.14065778942866328,11004,58,3.6637359812630166e-14,1.2656542480726785e-14,0.9999999999999634,1.0000000000000215,True,ok
24m_primary_all_project_versions,swapr,0.0010714868410353641,11196,58,8.902320215220527e-06,3.3836010028265306e-06,1.000002283598801,1.000008902359841,True,ok
24m_primary_all_project_versions,uniswap,86.84901803259328,10362,55,0.5286484543605328,0.25224682258886755,0.6614207617973346,1.6966376750653696,False,coefficients_only_invalid_CR1_covariance
24m_primary_all_project_versions,valantis,0.0036071257093046325,11140,58,1.8207657603852567e-14,7.771561172376096e-15,0.999999999999988,1.0000000000000182,True,ok
24m_primary_all_project_versions,verse_dex,0.049765169762370734,11027,58,0.0006984461228065619,0.0006280504937526965,0.9993017977339098,0.9994123828010574,True,ok
24m_primary_all_project_versions,xchange,0.0018888155405964696,11087,57,3.9838129255453936e-06,1.4940352389691824e-06,0.9999960161950098,1.0000024436151702,True,ok
