outcome,specification,hac_lag,term,estimate,std_error,ci_low,ci_high,p_value,percent_translation_type,percent_translation,percent_translation_ci_low,percent_translation_ci_high
log daily USD volume,interrupted_time_series,7,t,0.003275417105163488,0.0013744569888446672,0.0005815309087285692,0.005969303301598406,0.017169272387509375,daily_growth_factor_percent_change,0.3280787145209553,0.05817000306090841,0.5987155095799706
log daily USD volume,interrupted_time_series,7,D_dencun,-0.12818867043697024,0.08408271027737407,-0.2929877543031393,0.036610413429198796,0.12737026502921744,level_percent_change,-12.031260751798866,-25.396872368585633,3.7288828311726836
log daily USD volume,interrupted_time_series,7,S_dencun,-0.0030645322723032546,0.001413063077313742,-0.005834085011721527,-0.00029497953288498257,0.030104264397759994,daily_growth_factor_percent_change,-0.30598413862932483,-0.5817099784897871,-0.029493603070009523
log daily USD volume,interrupted_time_series,7,D_pectra,0.8152685490539889,0.1533283591100218,0.5147504873897224,1.1157866107182555,1.054102167191977e-07,level_percent_change,125.97824533108857,67.32209599794255,205.19679459158567
log daily USD volume,interrupted_time_series,7,S_pectra,-0.0018168853929272305,0.0008582362580422208,-0.0034989975489164073,-0.00013477323693805352,0.034259923477743835,daily_growth_factor_percent_change,-0.1815235855819578,-0.3492883190446749,-0.013476415543334197
log daily USD volume,interrupted_time_series,14,t,0.003275417105163488,0.0014473966580221273,0.00043857178409648133,0.006112262426230494,0.02363745817822223,daily_growth_factor_percent_change,0.3280787145209553,0.04386679707624561,0.6130980419209542
log daily USD volume,interrupted_time_series,14,D_dencun,-0.12818867043697024,0.09638383997300201,-0.3170975254757262,0.060720184601785715,0.18352455006550672,level_percent_change,-12.031260751798866,-27.17402722141341,6.2601540311095505
log daily USD volume,interrupted_time_series,14,S_dencun,-0.0030645322723032546,0.0015097894278483129,-0.006023665175125282,-0.00010539936948122681,0.042379453227414376,daily_growth_factor_percent_change,-0.30598413862932483,-0.6005559276918778,-0.010539381516282555
log daily USD volume,interrupted_time_series,14,D_pectra,0.8152685490539889,0.19888863162301054,0.4254539941384342,1.2050831039695438,4.1472234662349765e-05,level_percent_change,125.97824533108857,53.028500240442746,233.70363875148118
log daily USD volume,interrupted_time_series,14,S_pectra,-0.0018168853929272305,0.0010915996092145525,-0.00395638131252575,0.00032261052667128956,0.09602757995260024,daily_growth_factor_percent_change,-0.1815235855819578,-0.3948565147288331,0.032266257104378616
log daily USD volume,interrupted_time_series,28,t,0.003275417105163488,0.0015164796949479165,0.0003031715197792835,0.006247662690547692,0.03078181021304048,daily_growth_factor_percent_change,0.3280787145209553,0.030321748090907066,0.6267220043128426
log daily USD volume,interrupted_time_series,28,D_dencun,-0.12818867043697024,0.10239899545740387,-0.3288870135865624,0.07250967271262193,0.21062279012826446,level_percent_change,-12.031260751798866,-28.02756687758779,7.520320617147988
log daily USD volume,interrupted_time_series,28,S_dencun,-0.0030645322723032546,0.001618426176424921,-0.0062365892897329675,0.00010752474512645783,0.05828793522858193,daily_growth_factor_percent_change,-0.30598413862932483,-0.6217182132530598,0.010753052611906315
log daily USD volume,interrupted_time_series,28,D_pectra,0.8152685490539889,0.2532927913628811,0.31882380043912395,1.311713297668854,0.0012878192405040242,level_percent_change,125.97824533108857,37.55089394814461,271.2528933630131
log daily USD volume,interrupted_time_series,28,S_pectra,-0.0018168853929272305,0.001375522892433815,-0.004512860722007871,0.0008790899361534096,0.18654508523913982,daily_growth_factor_percent_change,-0.1815235855819578,-0.4502693066880548,0.08794764489628754
log daily trade count,interrupted_time_series,7,t,-0.004384078163302635,0.0026736304075838883,-0.009624297470138201,0.0008561411435329316,0.1010577258994219,daily_growth_factor_percent_change,-0.4374482121019897,-0.9578132140901108,0.08565077369728677
log daily trade count,interrupted_time_series,7,D_dencun,0.6907921737276103,0.118455624284139,0.4586234163644896,0.922960931090731,5.488074289980665e-09,level_percent_change,99.52955280414048,58.1894874877079,151.6731236348046
log daily trade count,interrupted_time_series,7,S_dencun,0.0012555872365044574,0.002682837748020649,-0.004002678125980559,0.006513852598989474,0.6397794797604641,daily_growth_factor_percent_change,0.12563758161676777,-0.3994678087309775,0.6535113876035252
log daily trade count,interrupted_time_series,7,D_pectra,0.5107969668562733,0.0756061953208357,0.3626115470193345,0.6589823866932121,1.4183385986018128e-11,level_percent_change,66.66189058348132,43.70775137590801,93.28244654113249
log daily trade count,interrupted_time_series,7,S_pectra,7.639278456824782e-05,0.0005198717330679314,-0.0009425370888253184,0.001095322657961814,0.883175079171931,daily_growth_factor_percent_change,0.007639570257131918,-0.09420930402651156,0.10959227428998797
log daily trade count,interrupted_time_series,14,t,-0.004384078163302635,0.002725759403363092,-0.009726468424415682,0.000958312097810411,0.10775027249158083,daily_growth_factor_percent_change,-0.4374482121019897,-0.9679319318994261,0.09587714255635453
log daily trade count,interrupted_time_series,14,D_dencun,0.6907921737276103,0.1385385863122722,0.41926153408646305,0.9623228133687575,6.155294154006665e-07,level_percent_change,99.52955280414048,52.08380537730609,161.7770008019606
