"year","first_observation","last_observation","observed_days","total_volume_usd","average_daily_volume_usd","median_daily_volume_usd","minimum_daily_volume_usd","maximum_daily_volume_usd","standard_deviation_usd","coefficient_of_variation","total_trade_count","average_daily_trade_count","average_daily_unique_bots","annualized_volume_usd"
2024,2024-01-01,2024-12-31,366,88884184969.0453,242852964.396299,232925509.765209,93006121.4710715,851714915.505712,88231338.8313538,0.363311763769018,4869252,13303.9672131148,217.732240437158,88702045245.7481
2025,2025-01-01,2025-12-31,365,158438158823.875,434077147.462671,355599041.541527,107958325.649298,1610042604.92571,260067765.493453,0.599127982234581,2336316,6400.86575342466,127,158546678110.741
