x,y
2.9559446203733195,9026.272504524954
2.964369514220341,9126.777879420017
2.963677507801417,9234.36448682747
2.9626222379784375,9341.176863518704
2.9592808374450605,9443.843576628127
2.957036134493455,9538.058587736825
2.9549677646685018,9630.818709258392
2.9507875858107613,9718.595685514529
2.949812631745503,9802.344256031472
2.9310917031644617,9877.025273499405
2.905845085729856,9925.745397531757
2.865183273525871,9964.332834079907
2.791891342912945,9991.153456166228
2.7,10006.46076137415
2.907856887536876,10032.00515883975
2.9514047753960817,10101.79912447213
2.9570589718941984,10196.249079013678
2.9606394983429483,10303.08332079677
2.9619844173546697,10416.922270440324
2.9613485817672682,10530.982465318655
2.965914346628024,10655.354976151126
2.9676727255727005,10792.833204017412
2.967185542743416,10935.029211108566
2.9678795956606923,11073.520599019015
2.969513881034194,11227.94418768072
2.9695980592702966,11383.7261903952
2.969144443041915,11543.122548346484
2.9707086359461696,11707.255293193375
2.9685014128552476,11871.427245038987
2.9658722973029454,12019.971194691
2.973563883842439,12195.651535130815
2.9721080305261585,12390.14107847236
2.9712110423097537,12571.856394961782
2.973760834559074,12769.208135815245
2.9719237019411695,12969.246472244264
2.974935482848165,13178.791385677838
2.97447051592398,13401.74336313829
2.9764266437539493,13633.422401932728
2.9759871186357167,13881.02090214979
2.9769145605871583,14123.93547038018
2.9767449161121955,14390.310691233231
2.9750773079487542,14646.552782870393
2.9677118300117633,14876.17808464278
2.952740417684636,15019.585382066663
2.977562334801315,15241.654789339933
2.9782201300771054,15536.972188555974
2.977867468369718,15837.027731520531
2.9779060522667016,16135.80145782724
2.980151284714008,16475.407261279644
2.9799904253516925,16833.594944713295
2.9803629761086126,17187.017965924188
2.979069399321637,17550.812887301043
2.9791537886118964,17915.44928737659
2.9818486038572583,18311.518794610056
2.9813833848944333,18739.52496319709
2.979684215735789,19142.566470424543
2.9777926895536817,19530.220093310105
2.9660335143843963,19855.00023078341
2.931284394174188,20016.346926334143
2.9811292754806877,20297.767415055758
2.9840872129428386,20816.24300632352
2.9850728573787766,21387.28125506667
2.9857277364602073,22023.359575643903
2.9855940443217706,22684.761590838785
2.9862475754913995,23373.888534256053
2.985712190974432,24076.28209895209
2.980932261449713,24767.938522534416
2.9841394778454315,25264.60318582113
2.987957170678006,26121.91071790525
2.9890361899963582,27099.50485546428
2.989049835601355,28173.069072651197
2.9878348971383293,29259.613234711444
2.9775422086951404,30002.838891059604
2.988764593306144,30887.272323021916
2.988754351996014,32052.02574779617
2.9889461869522895,33298.101198961
2.9880455717767056,34595.05066202865
2.9907154815049855,35949.99878911743
2.9911176427946637,37674.24449938689
2.9890558041727133,39476.92883436316
2.992491486007834,41235.15188651331
2.993117866153512,43832.88214458159
2.9933834967649364,46622.67894962218
2.9889662713399168,49338.811421439605
2.9923533545398353,51052.22833045043
2.9949819713514474,55081.00994218879
2.995156627145812,59995.22661340422
2.995931707349861,66076.69346256214
2.996046038634409,73323.59552844164
2.996318914447081,81750.6992964337
2.996698666483529,92800.73743562688
2.995364737032924,101858.3156559034
2.9976910873969698,118566.570180874
2.9978439883370758,144032.1162704389
2.9980075743276524,175163.61580081665
2.9981755772921512,216281.4917773509
2.998443576244173,281424.3811361446
2.9989677368997003,392781.11102605046
2.9992472720718246,619277.5085528651
2.9998680277168073,1830567.851651107
3.0001319722831927,1830567.851651107
3.0007527279281754,619277.5085528651
3.0010322631002997,392781.11102605046
3.001556423755827,281424.3811361446
3.0018244227078488,216281.4917773509
3.0019924256723476,175163.61580081665
3.0021560116629242,144032.1162704389
3.0023089126030302,118566.570180874
3.004635262967076,101858.3156559034
3.003301333516471,92800.73743562688
3.003681085552919,81750.6992964337
3.003953961365591,73323.59552844164
3.004068292650139,66076.69346256214
3.004843372854188,59995.22661340422
3.0050180286485526,55081.00994218879
3.0076466454601647,51052.22833045043
3.0110337286600832,49338.811421439605
3.0066165032350636,46622.67894962218
3.006882133846488,43832.88214458159
3.007508513992166,41235.15188651331
3.0109441958272867,39476.92883436316
3.0088823572053363,37674.24449938689
3.0092845184950145,35949.99878911743
3.0119544282232944,34595.05066202865
3.0110538130477105,33298.101198961
3.011245648003986,32052.02574779617
3.011235406693856,30887.272323021916
3.0224577913048596,30002.838891059604
3.0121651028616707,29259.613234711444
3.010950164398645,28173.069072651197
3.0109638100036418,27099.50485546428
3.012042829321994,26121.91071790525
3.0158605221545685,25264.60318582113
3.019067738550287,24767.938522534416
3.014287809025568,24076.28209895209
3.0137524245086005,23373.888534256053
3.0144059556782294,22684.761590838785
3.0142722635397927,22023.359575643903
3.0149271426212234,21387.28125506667
3.0159127870571614,20816.24300632352
3.0188707245193123,20297.767415055758
3.068715605825812,20016.346926334143
3.0339664856156037,19855.00023078341
3.0222073104463183,19530.220093310105
3.020315784264211,19142.566470424543
3.0186166151055667,18739.52496319709
3.0181513961427417,18311.518794610056
3.0208462113881036,17915.44928737659
3.020930600678363,17550.812887301043
3.0196370238913874,17187.017965924188
3.0200095746483075,16833.594944713295
3.019848715285992,16475.407261279644
3.0220939477332984,16135.80145782724
3.022132531630282,15837.027731520531
3.0217798699228946,15536.972188555974
3.022437665198685,15241.654789339933
3.047259582315364,15019.585382066663
3.0322881699882367,14876.17808464278
3.0249226920512458,14646.552782870393
3.0232550838878045,14390.310691233231
3.0230854394128417,14123.93547038018
