days_since_start,volume_millions,ma7,ci_upper,ci_lower
0,189.6545488112716,242.86320307456322,323.4833008654422,162.24310528368426
1,282.01601122290015,245.87658124408185,316.9337228337821,174.81943965438157
2,267.3955695339629,233.52880074188303,320.44032477876345,146.6172767050026
3,232.3866827301182,216.75010617481848,334.5007392952261,98.99947305441088
4,257.93009392215646,226.5427210530473,345.1409803100596,107.94446179603497
5,171.7898982308889,235.51214306479167,379.3487990643257,91.67548706525761
6,116.07793877243124,244.21903477458412,403.0144583218834,85.42361122728482
7,258.2028529588733,248.43979505735277,407.3340551007765,89.54553501392908
8,344.80196530511085,257.59497491285646,425.76200983614115,89.42793998957174
9,328.3438115025098,257.3882330767666,426.0307934314218,88.74567272211138
10,261.932004709499,264.2528571447244,409.2090941830129,119.29662010643588
11,322.016352910682,249.03363258019584,416.56371175277997,81.50355340761172
12,170.34270537826015,227.50937850124836,375.99347403308116,79.02528296941557
13,164.13030724813544,212.24294257351372,332.7264916914241,91.75939345560334
14,151.6682810071736,207.9170427264922,322.3406329742968,93.49345247868763
15,194.13218675247856,201.19324623588426,287.4005097713441,114.9859827004244
16,221.4787600083672,193.46783801477528,299.17008356531574,87.76559246423484
17,231.6507057803486,191.94513032180222,299.8142543748351,84.07600626876933
18,274.9497774764263,227.50836867274793,408.6348449903943,46.38189235510154
19,116.2648478304972,256.46997109151977,472.56684272213033,40.373099460909174
20,153.471353397324,256.4874199759117,472.5716471662455,40.403192785577886
21,400.6109494637937,257.5823570593224,473.17657604642966,41.98813807221515
22,396.86340368388113,258.2740089600543,474.14759645386425,42.400421466244296
23,221.60090219911092,264.7899913587028,463.4070825644286,66.17290015297706
24,239.3152653642235,268.4425453736358,458.60794275759315,78.27714798967847
25,279.7913407815495,251.16417839588217,405.18029082989244,97.14806596187191
26,161.876724621037,226.76446728141013,315.44527834795224,138.08365621486803
27,179.0392315018549,235.137355143398,331.8945924428052,138.38011784399077
28,279.66238061951844,232.52426864610814,329.72366572435703,135.32487156785922
29,226.06542588257668,220.60746735852408,311.2580242845459,129.95691043250224
30,280.21111723302596,220.64802518826158,311.1809814475949,130.11506892892828
31,221.0236598831946,219.10083274399935,313.1095824008428,125.09208308715591
32,196.3737317684612,208.94943808444515,287.03940964640077,130.85946652248953
33,162.16062942919945,201.75273746126166,281.66935431267336,121.83612060984997
34,168.20888439201923,190.9870430226865,234.94228117767938,147.0318048676936
35,208.60261800263916,182.84466730328919,221.86579326108398,143.8235413454944
36,175.68852152029203,180.3724649928312,217.61753473737758,143.1273952482848
37,204.85125616299982,179.39941557681217,219.04160202811795,139.7572291255064
38,164.02702984741336,182.68430464907448,221.82723001497993,143.54137928316902
39,179.06831559525529,177.18911495422256,209.86228447860708,144.51594542983804
40,155.3492835170663,185.03108509228971,236.1756729033081,133.88649728127132
41,191.20310789785552,201.24919989487336,313.3662891698629,89.13211061988382
42,170.13629013867552,217.29024414903037,336.19215937169287,98.38832892636788
43,230.5823124867623,222.48291689116553,336.86686691262236,108.0989668697087
44,318.37805978108526,222.7550594704014,336.42965177320303,109.08046716759976
45,276.3143396265125,222.03663701274425,336.66202210894323,107.41125191654524
46,215.41702479020125,232.3714779902694,338.21672218820396,126.52623379233484
47,157.25428157171743,244.1406989706452,365.54617015970086,122.73522778158949
48,186.1741506942556,243.49089295217138,363.1497151570936,123.83207074724913
49,242.4801769813515,233.93902387919837,352.0973144056388,115.78073335275793
50,312.9668593493929,229.37376510968653,352.98521184422356,105.7623183751495
51,313.8294176517684,237.45161831516887,346.1368477388529,128.76638889148484
52,209.45125611570143,237.3513879058428,346.24959223840517,128.45318357328048
53,183.4602134036185,244.0908347474536,359.80623702106504,128.37543247384218
54,213.79925401009385,243.5373862199455,357.8028652208904,129.27190721900058
55,185.47253782897317,243.92043643150106,359.25428780574134,128.5865850572608
56,289.65630487262706,256.39935011946335,373.16339277791826,139.63530746100844
57,309.09271965683604,271.6544920817043,371.2437799191308,172.06520424427777
58,316.5107691326575,274.7705498944059,367.3078430728127,182.23325671599912
59,296.80365193143706,270.5848641974016,381.8713804341118,159.2983479606914
60,290.2462071393055,268.45693423443987,378.6507723055249,158.26309616335482
61,235.61165869900503,280.0090432683066,421.21521193396245,138.80287460265075
