tier,tier_index,x_pos,avg_tx_size,min_tx,max_tx,median,q25,q75,mean,max_density,max_width
Retail,0,1,418.83003438024576,1.2390000000000001e-23,1024.43931,253.3246957737095,129.81184278143138,494.2721500309736,356.7703190784189,0.9102322152150313,0.3
Small,1,2,3329.753271477596,1024.44,9999.999610388457,2593.821200412827,1605.328864417479,4192.179878477806,3259.0145539319465,1.2605614196309278,0.3
Institutional,2,3,66152.1302103411,10000.000422095753,21005460.0,39187.96764922507,20003.310014642204,78055.62155775813,65173.12097605238,0.9058942741795194,0.3
