bot_address,total_volume_usd
0xe00456d3af6e9b8715a9c29c88c1932983e064c1,150867541.01401123
0x488c67d2de5350cbe06b2d42bb8774e3c7fef20a,148760349.1644194
0x5b5001c4f80f33ec93b891062ed2e1d0acc05bb6,140551535.81110638
0x725ff095ef3bbac3ae06917dfae1901dfac40c97,135907627.20423973
0xa7a7bfd5c84a46ed78f1f0a282c4cf8b0beb4914,133999907.37000892
0x0096913d68a000311266250f0000000000e04c00,133738481.05966632
0x5230dcfeda44e66e1ced1aa8aad4fbbc60dbee78,129146807.90906875
0x53522fa4156dc18ec0fd5219d4d5a98c358aa6fb,128499183.55496173
0x6a50353e2b7f2f96a7c5680c51b9f32565b04195,128213309.71303363
0xdd2cae07c054b7f67ac5d969cd1cd12264a40226,117422611.17028174
0x60a0b09603e10d248fa7c980890d698c0f6dbcd1,117012914.13726868
0x335cf0e037fc5f73522d98be89d9816db4b59570,115639436.2332095
0x6e6759b3ef49bab693127c9ea126eb6e549bc3d3,113155872.97945745
0x80f6a8a52a1e187f1ecc26ebdc96d52e34f695ea,101765484.85053027
0xbbd4b0c49e900762236c2478e56ca0ae088122fd,97520689.48601902
0x9fac12bc53085357e342cc2675372cafc6b8b5ad,93572130.29547839
0x971ac48e6f904406edbc22687ed92bc8966fe551,93146193.9705773
0xc37fee6bc40aa524839cfcffdea1acf9a655c405,90508645.20201117
0xb8feffac830c45b4cd210ecdaab9d11995d338ee,90308854.63562036
0x93ffb15d1fa91e0c320d058f00ee97f9e3c50096,89913347.42419674
0x595caa1ce7d8cb5df54c017d07d86ed0e24a3b2c,85981757.12168539
0x0eb623c1297e594a83e6309fec8a96c1efe873e6,84473232.54680514
0xb5eaac5a8649142dcdd13f981767913bcdf7ee42,84319810.66961694
0x232694077ba53be803110549c5e0b264337a5798,83491570.44951206
0xe3d5e8d77dc4031013e6fa53c26164555dc273ad,80507771.14244449
0x7944e84d18803f926743fa56fb7a9bb9ba5f5f24,79659040.6533711
0x1898036f5dd9cf2ebd1595a6e3fc006a40a9e108,77970569.83837841
0x7ad2e10bfc08b40ff0f9f664adeb77a6206860f6,77938694.8095636
