victim_tier,is_known_bot,unique_eoas,attack_events,attacks_per_eoa,max_attacks_single_eoa,median_attacks_per_eoa,tier_volume_usd,avg_median_trade_usd,cutoff_p50,cutoff_p90
Retail,0,449940,2.112092e+06,4.694163666266613,10329,1,1.273633861894568e+09,294.4086512771812,893.9016,8154.581725437702
Retail,1,840,95213,113.34880952380952,47858,2,1.4264508458236516e+08,235.15913848317186,893.9016,8154.581725437702
Small,0,314400,1.714835e+06,5.454309796437659,13887,1,6.570046633918582e+09,2798.2630297606265,893.9016,8154.581725437702
Small,1,245,45424,185.40408163265306,38458,5,1.3611110972983184e+09,2412.9145207676356,893.9016,8154.581725437702
Institutional,0,76671,314103,4.096764095942404,3349,1,1.8830501673783512e+10,47705.62301244165,893.9016,8154.581725437702
Institutional,1,42,4731,112.64285714285714,867,42,2.1917315887345767e+09,396202.0085928496,893.9016,8154.581725437702
