rank_basis,taker,victim_trades,total_volume_usd,avg_trade_usd,max_trade_usd,trades_ge_10k,protocols_touched,distinct_senders,first_seen,last_seen
by_large_trades,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,883016,4.251917796605863e+09,4815.221690893328,4.856006554722665e+06,78895,1,186198,2024-01-01 00:03:23.000 UTC,2026-06-27 20:36:59.000 UTC
by_large_trades,0x1111111254eeb25477b68fb85ed929f73a960582,178413,3.334918986820939e+08,1869.2129983918992,1.405423610735164e+07,3136,11,70741,2024-01-01 00:02:35.000 UTC,2026-06-30 20:23:59.000 UTC
by_large_trades,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,164419,7.338104528073046e+08,4463.051428407329,4.474434629902423e+06,9632,6,43273,2025-01-29 16:40:47.000 UTC,2026-06-30 19:14:47.000 UTC
by_large_trades,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,94361,4.0930272762223315e+08,4337.626006742544,6.898485771230527e+06,5261,8,32427,2024-01-01 01:17:47.000 UTC,2026-02-01 09:11:11.000 UTC
by_large_trades,0xe37e799d5077682fa0a244d46e5649f71457bd09,78907,1.8021417657010548e+09,22838.807275666986,1.3071146390499642e+07,25612,12,34565,2024-01-01 00:10:35.000 UTC,2024-12-05 08:07:23.000 UTC
by_large_trades,0x74de5d4fcbf63e00296fd95d33236b9794016631,70228,2.2900170946382245e+08,3260.831996693946,1.8609635190682865e+06,3976,8,28459,2024-01-01 00:04:35.000 UTC,2026-06-30 12:16:11.000 UTC
by_large_trades,0x5141b82f5ffda4c6fe1e372978f1c5427640a190,50539,1.3451553181057281e+09,26616.183899676056,1.03213824e+07,11297,14,22073,2024-12-25 08:56:11.000 UTC,2025-10-20 17:40:59.000 UTC
by_large_trades,0x70bf6634ee8cb27d04478f184b9b8bb13e5f4710,32544,1.8363130572229323e+08,5642.5548710144185,2.4960319588740226e+06,3702,11,15390,2024-08-30 16:22:59.000 UTC,2026-06-18 14:26:59.000 UTC
by_large_trades,0xf081470f5c6fbccf48cc4e5b82dd926409dcdd67,30624,1.0638171717067153e+09,34738.02154214718,1.88749e+07,7446,12,12962,2024-01-01 00:22:47.000 UTC,2025-01-22 00:56:47.000 UTC
by_large_trades,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,23302,7.071636108130201e+08,30347.764604455417,7.180739954052583e+06,7648,10,7318,2024-01-01 00:35:47.000 UTC,2026-06-26 02:51:59.000 UTC
