victim_tier,victim_trades,addresses_with_trade_in_tier,total_volume,avg_tx_size,min_tx,max_tx,pct_of_trades,pct_of_volume,cutoff_p50,cutoff_p90
Retail,2.143198e+06,245415,7.085248416728421e+08,330.59233989246076,1.2390000000000001e-23,893.9008,49.99997667038852,2.333001455293059,893.9016,8154.581725437702
Small,1.71456e+06,163096,4.716586684726424e+09,2750.902088422933,893.9016,8154.57767084299,40.00001866368918,15.530582630670223,893.9016,8154.581725437702
Institutional,428640,45226,2.494455841381263e+10,58194.65848687157,8154.581725437702,2.100546e+07,10.000004665922296,82.13641591403672,893.9016,8154.581725437702
