bot_address,total_trades,priced_trades,total_volume_usd
0x05c45c965a96af8b846cc3025066d5680f31ca52,253,249,2.9169038422410707e+06
0xac0f02f055c19b7010f3250ff9d00ff74cddf29e,8,8,2.900216953910349e+06
0x109830a1aaad605bbf02a9dfa7b0b92ec2fb7daa,170,170,2.864023619217651e+06
0xb6a4ea3c38d7b1edd0cfb414d1f942d9cc8d89ad,1562,1562,2.74910267437305e+06
0xb9a4406982d990648093c71eff9f1f63a040152e,233,233,2.678155694843679e+06
0x00df657aa9a100a600001700004a00359a639f47,978,978,2.55256641201903e+06
0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,111,111,2.545431911234016e+06
0x0dc9db1c2f7fbc6f7e68df772969119eea085934,844,844,2.532293995512505e+06
0xa7c190dae786dae11204f49404551887a76f6071,30,30,2.518167911810532e+06
0xcf6daab95c476106eca715d48de4b13287ffdeaa,97,97,2.4915134757279893e+06
0x11f7c6ad9d6ad8a6c0054646833a05299ff498fb,84,84,2.4684911525980234e+06
0x48da0965ab2d2cbf1c17c09cfb5cbe67ad5b1406,82,82,2.468013226316037e+06
0xebce363564fa8b55d85aaf681156087116b148db,282,250,2.4652066321552712e+06
0x871916af1419fa4000bfe6507c70f49a7aaeadd2,18,18,2.448398154498264e+06
0x185a1ff695d30a22c19f44c6b41e2d6d1c8c1f11,257,257,2.426062934961142e+06
0xefb47fcfcad4f96c83d4ca676842fb03ef20a477,423,423,2.4004320929951784e+06
0xc45a81bc23a64ea556ab4cdf08a86b61cdceea8b,286,286,2.3658305720906933e+06
0x8a3c015e80567ba1e6ee5dbeea775e40ef90c008,778,778,2.360244650221247e+06
0x80ed1b41476b95fb47830825b65fd3bf59f6a348,105,105,2.304557997250911e+06
0xf0e5be7cdd185841e5871a6a41b97f8fe356181c,3954,3954,2.2465396201855745e+06
0x520658654a231f8e452277c7b7e331032f516c79,2082,2075,2.2118892473607557e+06
0x79fe75708e834c5a6857a8b17eeac651907c1da8,306,306,2.207011930086042e+06
0x6980a47bee930a4584b09ee79ebe46484fbdbdd0,16,16,2.1707139754778505e+06
0x0b02428e7c2c24ccf64426e637aee0c879bd1860,333,333,2.130943397941563e+06
0xaab2f49e5b0779d50fef7d801bb4bc682dbbdb9e,107,107,2.1031196560924673e+06
0x2cfa5349d50d00e2d0c1e2f546b7e4ba72ddc293,1502,1502,2.0588287396497526e+06
0x978052f0d6f6eea6297f1e2998a5880ade26415b,6,6,2.058629397546175e+06
0x3733493ec5d2c181dcd7c54ed100641c0f07bb0e,5,5,2.0520061559649096e+06
0x0a8e00ec0ed7a20088008c0056cb9000defa0089,791,786,2.0152619773188585e+06
0x0f9f18d18c8227a276375940b39ca086fbde1604,6,6,1.9980902276468126e+06
0x435664008f38b0650fbc1c9fc971d0a3bc2f1e47,26,26,1.9880471667113157e+06
0xddd8ab39ae96e685aad71ac39d36d87500000000,4007,3997,1.9333438090678623e+06
0x00f72dde000091c62c51c600af6f0000dd00562e,3314,3314,1.9276267022917918e+06
0xe15cb0ebcd24b4b0ab1c16b4a46247003930fd99,6394,6376,1.9205809936251477e+06
0x99d8e05cdc5cac6613aabad0ffb844f2e665fddc,1123,1123,1.8924504364958885e+06
0x8e354f07ac2073a38cdc817cb8cebc8cd219ccbd,155,155,1.8620691590989456e+06
0xb758fe8542927f71510ecab4741c3a4b0c19e4cb,188,188,1.8422945599356778e+06
0x2f3db8e6ebb5e0f1d3c4b799bb47b02f5b1f9eba,282,282,1.841167154967836e+06
0xc0ffeebabe5d496b2dde509f9fa189c25cf29671,31,31,1.8227335110249566e+06
0x961ec3bb28c9e98a040c4bded38917aa96b791be,322,322,1.7561619184354013e+06
0xc96f20099d96b37d7ede66ff9e4de59b9b1065b1,144,144,1.7292370686274148e+06
0x3a1b97fc25fa45832f588ed3bfb2a0f74ddbd4f8,24,24,1.6929301705230884e+06
0x00000000a4abed8f0da9593332674e0188ef964d,1716,1716,1.6361035676678065e+06
0x2201d2400d30bfd8172104b4ad046d019ca4e7bd,13,13,1.632000584879896e+06
0xaa4cf5eea72fd54c215071e6cd816f29699da023,15,15,1.6294485117975932e+06
0x37922c69b08babcceae735a31235c81f1d1e8e43,96,96,1.6219728950378168e+06
0x000000002858ffb63b7576be62065ff77e9bc9e1,524,524,1.61446410766095e+06
0x13cf8829d2eaf6a70a33c6b9bb67b6c2f5d135be,15,15,1.6112872625524527e+06
0x55d5c232d921b9eaa6b37b5845e439acd04b4dba,496,496,1.5939430144548006e+06
0xae4045ffeddf61d570e6d1fe2d71ded1a2e85a88,162,162,1.5858131115789595e+06
0x1460c095a22f80157003d14ac3cf7fb774b4b01d,1229,1229,1.5625494720661282e+06
0x1264f83b093abbf840ea80a361988d19c7f5a686,15,15,1.5604449829495186e+06
0x4d3866284158e1234965283e5c8291f6d4b25871,112,112,1.5433710333554056e+06
