victim_tier,victim_trades,addresses_with_trade_in_tier,total_volume,avg_tx_size,min_tx,max_tx,pct_of_trades,pct_of_volume,cutoff_p50,cutoff_p90
Retail,1.876928e+06,209181,7.692404071047761e+08,409.8401255161499,1.2390000000000001e-23,1001.8473368933513,49.999986680366355,2.794843257513255,1001.8474213724877,8986.607999999998
Small,1.501543e+06,142031,4.628174818952997e+09,3082.2792413890224,1001.8474213724877,8986.590045019468,40.00000532785346,16.815319460436985,1001.8474213724877,8986.607999999998
Institutional,375386,40517,2.2126146427600655e+10,58942.38577784109,8986.607999999998,2.100546e+07,10.000007991780189,80.38983728204977,1001.8474213724877,8986.607999999998
