rank_basis,taker,victim_trades,total_volume_usd,avg_trade_usd,max_trade_usd,trades_ge_10k,protocols_touched,distinct_senders,first_seen,last_seen
by_trade_count,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,151020,5.504574205751952e+08,3644.9306090265873,3.6868585359375e+06,7726,6,39810,2025-01-29 16:40:47.000 UTC,2025-12-31 23:57:47.000 UTC
by_trade_count,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,94360,4.092966875972335e+08,4337.60796521019,6.898485771230527e+06,5261,8,32427,2024-01-01 01:17:47.000 UTC,2025-11-13 20:35:59.000 UTC
by_trade_count,0xf3de3c0d654fda23dad170f0f320a92172509127,79889,1.1432689680918494e+08,1431.071822268209,531864.0836307945,1304,8,24305,2024-01-01 00:36:47.000 UTC,2025-03-16 20:53:11.000 UTC
by_trade_count,0xe37e799d5077682fa0a244d46e5649f71457bd09,78907,1.8021417657010586e+09,22838.807275667034,1.3071146390499642e+07,25612,12,34565,2024-01-01 00:10:35.000 UTC,2024-12-05 08:07:23.000 UTC
by_trade_count,0x74de5d4fcbf63e00296fd95d33236b9794016631,70075,2.288886836404096e+08,3266.3386891246464,1.8609635190682865e+06,3975,8,28351,2024-01-01 00:04:35.000 UTC,2025-12-30 23:44:11.000 UTC
by_trade_count,0x5141b82f5ffda4c6fe1e372978f1c5427640a190,50539,1.345155318105724e+09,26616.183899675976,1.03213824e+07,11297,14,22073,2024-12-25 08:56:11.000 UTC,2025-10-20 17:40:59.000 UTC
by_trade_count,0x0d0e364aa7852291883c162b22d6d81f6355428f,45266,7.988477244912994e+07,1764.7853234023316,923119.6823698127,1004,10,16604,2025-01-31 14:08:59.000 UTC,2025-05-01 17:17:23.000 UTC
by_trade_count,0x111111125421ca6dc452d289314280a0f8842a65,44532,9.658730718655668e+07,2168.941596751924,2.248508294401141e+06,820,12,13747,2024-03-02 03:50:47.000 UTC,2025-12-31 23:48:59.000 UTC
by_trade_count,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,41918,7.85741989159166e+07,1874.473947132893,1.6689021924250703e+06,967,1,13973,2024-01-01 00:37:23.000 UTC,2025-12-31 23:57:47.000 UTC
by_trade_count,0x70bf6634ee8cb27d04478f184b9b8bb13e5f4710,32513,1.8045319414609534e+08,5550.185899366264,2.4960319588740226e+06,3683,11,15381,2024-08-30 16:22:59.000 UTC,2025-11-27 14:04:11.000 UTC
by_trade_count,0xf081470f5c6fbccf48cc4e5b82dd926409dcdd67,30624,1.0638171717067173e+09,34738.021542147246,1.88749e+07,7446,12,12962,2024-01-01 00:22:47.000 UTC,2025-01-22 00:56:47.000 UTC
by_trade_count,0xb1b2d032aa2f52347fbcfd08e5c3cc55216e8404,25814,7.696531206924678e+07,2981.5337440631743,315110.2155293456,1460,9,6,2024-01-28 16:28:23.000 UTC,2025-12-31 23:21:11.000 UTC
by_trade_count,0xdf31a70a21a1931e02033dbba7deace6c45cfd0f,25012,6.324903062134359e+07,2528.747426089221,1.8020254353528367e+06,940,10,11153,2025-07-02 18:37:59.000 UTC,2025-09-19 11:57:35.000 UTC
by_trade_count,0x5418226af9c8d5d287a78fbbbcd337b86ec07d61,23307,5.5734550749336846e+07,2391.322381659452,1.5965074504322377e+06,636,9,8545,2025-05-01 17:26:35.000 UTC,2025-06-18 22:22:59.000 UTC
by_trade_count,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,23216,7.062749220725874e+08,30421.9039486814,7.180739954052583e+06,7644,10,7294,2024-01-01 00:35:47.000 UTC,2025-12-31 17:50:11.000 UTC
by_trade_count,0x77edae6a5f332605720688c7fda7476476e8f83f,20707,2.8788811772048503e+07,1390.2937060920706,345418.10522649507,282,3,4463,2024-01-01 06:05:23.000 UTC,2025-12-30 01:07:23.000 UTC
by_trade_count,0xdef1c0ded9bec7f1a1670819833240f027b25eff,19171,1.940526250130001e+08,10122.196286735178,1.6854070533921395e+06,3572,2,10863,2024-01-01 00:09:11.000 UTC,2025-06-27 08:01:35.000 UTC
by_trade_count,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,17662,7.247790643475908e+07,4103.606977395486,397170.513582485,1528,7,9297,2024-01-01 00:16:47.000 UTC,2025-12-31 15:43:35.000 UTC
by_trade_count,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,16992,2.903869527085408e+08,17089.627631152354,1.8268968954504977e+06,3351,7,1,2024-01-01 00:26:35.000 UTC,2024-08-13 05:33:35.000 UTC
by_trade_count,0x3451b6b219478037a1ac572706627fc2bda1e812,16859,3.856598678298458e+08,22875.60755856491,5.252919013621168e+06,6272,13,8671,2024-10-18 16:00:11.000 UTC,2024-12-25 08:51:23.000 UTC
by_trade_count,0x1f2f10d1c40777ae1da742455c65828ff36df387,15287,6.605021781409073e+08,43206.7886531633,5.216387164593406e+06,4298,10,1,2024-08-06 09:23:11.000 UTC,2025-12-31 22:43:23.000 UTC
by_trade_count,0x00000047bb99ea4d791bb749d970de71ee0b1a34,13960,2.4684199678227067e+07,1768.2091460048043,138443.7699434036,266,5,4000,2024-01-01 01:50:47.000 UTC,2025-12-31 19:55:59.000 UTC
by_trade_count,0x207e1074858a7e78f17002075739ed2745dbaece,12349,2.637625870899924e+07,2135.902397683961,2.8016973018026156e+06,353,10,6061,2025-09-30 15:47:23.000 UTC,2025-12-08 15:04:47.000 UTC
by_volume,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,882844,4.251867131205817e+09,4816.102427162463,4.856006554722665e+06,78893,1,186190,2024-01-01 00:03:23.000 UTC,2025-12-23 16:40:23.000 UTC
by_volume,0x1111111254eeb25477b68fb85ed929f73a960582,173332,3.3019857292764604e+08,1905.0064207858102,1.405423610735164e+07,3106,11,68912,2024-01-01 00:02:35.000 UTC,2025-12-31 23:20:23.000 UTC
by_volume,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,151020,5.504574205751913e+08,3644.930609026561,3.6868585359375e+06,7726,6,39810,2025-01-29 16:40:47.000 UTC,2025-12-31 23:57:47.000 UTC
by_volume,0x22f9dcf4647084d6c31b2765f6910cd85c178c18,94360,4.0929668759722865e+08,4337.607965210138,6.898485771230527e+06,5261,8,32427,2024-01-01 01:17:47.000 UTC,2025-11-13 20:35:59.000 UTC
by_volume,0xe37e799d5077682fa0a244d46e5649f71457bd09,78907,1.802141765701062e+09,22838.807275667077,1.3071146390499642e+07,25612,12,34565,2024-01-01 00:10:35.000 UTC,2024-12-05 08:07:23.000 UTC
by_volume,0x74de5d4fcbf63e00296fd95d33236b9794016631,70075,2.2888868364040837e+08,3266.3386891246287,1.8609635190682865e+06,3975,8,28351,2024-01-01 00:04:35.000 UTC,2025-12-30 23:44:11.000 UTC
by_volume,0x5141b82f5ffda4c6fe1e372978f1c5427640a190,50539,1.3451553181057184e+09,26616.183899675863,1.03213824e+07,11297,14,22073,2024-12-25 08:56:11.000 UTC,2025-10-20 17:40:59.000 UTC
by_volume,0x70bf6634ee8cb27d04478f184b9b8bb13e5f4710,32513,1.804531941460953e+08,5550.185899366263,2.4960319588740226e+06,3683,11,15381,2024-08-30 16:22:59.000 UTC,2025-11-27 14:04:11.000 UTC
by_volume,0xf081470f5c6fbccf48cc4e5b82dd926409dcdd67,30624,1.063817171706717e+09,34738.02154214724,1.88749e+07,7446,12,12962,2024-01-01 00:22:47.000 UTC,2025-01-22 00:56:47.000 UTC
by_volume,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,23216,7.062749220725863e+08,30421.903948681353,7.180739954052583e+06,7644,10,7294,2024-01-01 00:35:47.000 UTC,2025-12-31 17:50:11.000 UTC
by_volume,0xdef1c0ded9bec7f1a1670819833240f027b25eff,19171,1.9405262501299953e+08,10122.196286735149,1.6854070533921395e+06,3572,2,10863,2024-01-01 00:09:11.000 UTC,2025-06-27 08:01:35.000 UTC
by_volume,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,16992,2.9038695270854074e+08,17089.62763115235,1.8268968954504977e+06,3351,7,1,2024-01-01 00:26:35.000 UTC,2024-08-13 05:33:35.000 UTC
by_volume,0x3451b6b219478037a1ac572706627fc2bda1e812,16859,3.856598678298445e+08,22875.60755856483,5.252919013621168e+06,6272,13,8671,2024-10-18 16:00:11.000 UTC,2024-12-25 08:51:23.000 UTC
by_volume,0x1f2f10d1c40777ae1da742455c65828ff36df387,15287,6.605021781409084e+08,43206.78865316336,5.216387164593406e+06,4298,10,1,2024-08-06 09:23:11.000 UTC,2025-12-31 22:43:23.000 UTC
by_volume,0x6a000f20005980200259b80c5102003040001068,11404,4.4930857291644794e+08,39399.20842831006,6.997156054382478e+06,3857,10,3757,2024-06-20 07:58:47.000 UTC,2025-12-31 23:01:59.000 UTC
by_volume,0x6e4141d33021b52c91c28608403db4a0ffb50ec6,10622,3.5878232999378103e+08,33777.28582129364,8.808184818275701e+06,1679,12,4225,2025-05-12 13:28:35.000 UTC,2025-10-16 08:52:35.000 UTC
by_volume,0x0f4a1d7fdf4890be35e71f3e0bbc4a0ec377eca3,9661,2.4914056815458164e+08,25788.2794901751,6.0624237e+06,1730,13,4463,2024-07-01 08:44:11.000 UTC,2025-05-12 12:26:59.000 UTC
by_volume,0xcf5540fffcdc3d510b18bfca6d2b9987b0772559,9032,2.0571321853501883e+08,22776.042796171263,4.291689008040636e+06,1953,10,4375,2024-01-01 03:04:11.000 UTC,2025-12-31 18:05:11.000 UTC
by_volume,0x7f9b6bb65c8f9105f46ec3b18cb31845c85b6e72,1149,9.237155828247783e+08,803930.011161687,3.380019577731136e+06,1138,1,2,2025-02-04 23:34:47.000 UTC,2025-04-23 02:16:11.000 UTC
by_volume,0xf0d4c12a5768d806021f80a262b4d39d26c58b8d,872,2.4894725902028492e+08,285489.9759406937,1.5150496240334224e+07,797,1,536,2024-01-01 21:21:23.000 UTC,2025-12-15 11:15:47.000 UTC
by_volume,0x45312ea0eff7e09c83cbe249fa1d7598c4c8cd4e,862,2.4950361069202253e+08,289447.34419028135,1.1981753711407825e+07,579,1,463,2024-11-21 22:52:23.000 UTC,2025-12-31 18:30:47.000 UTC
by_volume,0x16c6521dff6bab339122a0fe25a9116693265353,716,2.205403761021442e+08,308017.2850588606,9.987194182145596e+06,574,1,405,2024-07-10 05:28:23.000 UTC,2025-12-31 02:24:35.000 UTC
by_volume,0x9f739b86d916bba4ed6323868ce0da252d9222a9,164,1.7660867775460407e+08,1.0768821814305126e+06,3.3780268979433915e+06,164,1,1,2025-03-20 18:05:47.000 UTC,2025-04-21 08:11:59.000 UTC
by_volume,0xca4f620a600b67430665538e33fd39546616916a,120,1.7879257599282864e+08,1.489938133273572e+06,9.17172079971092e+06,111,2,5,2025-05-13 14:02:35.000 UTC,2025-07-15 07:59:23.000 UTC
by_volume,0xae317afa99c5d85afc79ca5c54556d146b8be7bb,19,1.8098007696813974e+08,9.52526720884946e+06,2.100546e+07,19,1,1,2025-04-22 18:45:59.000 UTC,2025-12-18 15:32:23.000 UTC
