victim_tier,is_known_bot,unique_eoas,attack_events,attacks_per_eoa,max_attacks_single_eoa,median_attacks_per_eoa,tier_volume_usd,avg_median_trade_usd,cutoff_p50,cutoff_p90
Retail,0,393766,1.873714e+06,4.75844537110873,9779,1,1.3394698951168818e+09,369.3506239126208,1001.8474213724877,8986.607999999998
Retail,1,684,63036,92.15789473684211,38452,2,1.2425105487174895e+08,265.5841589228535,1001.8474213724877,8986.607999999998
Small,0,278906,1.507105e+06,5.4036306138985895,13887,1,6.421042156065371e+09,3133.1551435651345,1001.8474213724877,8986.607999999998
Small,1,205,38496,187.78536585365853,33179,5,1.0551694640235834e+09,2756.415282646803,1001.8474213724877,8986.607999999998
Institutional,0,68732,267152,3.8868649246348133,2115,1,1.6574029371958496e+10,50712.35278510653,1001.8474213724877,8986.607999999998
Institutional,1,37,4354,117.67567567567568,867,42,2.0095997116223812e+09,443535.9687861382,1001.8474213724877,8986.607999999998
